bowler,runs_conceded,balls_bowled,wickets_taken,economy,team
E Kuyumcu,31,16,0.0,11.625,Turkey
E Leie,33,19,1.0,10.421052631578949,South Africa
E Malinga,62,50,3.0,7.439999999999999,Sri Lanka
E Marx,85,80,1.0,6.375,South Africa
E Mathew,176,137,12.0,7.708029197080291,Malta
E Mbofana,11,29,6.0,2.275862068965517,Zimbabwe
E Millington,32,19,0.0,10.105263157894736,Other
E Ndubudem,21,25,2.0,5.04,Nigeria
E Niyomugabo,153,128,10.0,7.171875,Rwanda
E Ochieng,126,88,2.0,8.590909090909092,Kenya
E Otieno,285,206,9.0,8.300970873786408,Kenya
E Packard,60,44,1.0,8.181818181818182,Gibraltar
E Prokic,111,105,4.0,6.342857142857143,Serbia
E Richard,68,74,2.0,5.513513513513514,Malawi
E Rukiriza,810,708,41.0,6.864406779661017,Rwanda
E Schiferli,114,93,2.0,7.35483870967742,Australia
E Sebareme,430,442,25.0,5.83710407239819,Rwanda
E Toguchi-Quinn,203,228,9.0,5.342105263157895,Japan
E Ungerman,69,82,4.0,5.048780487804878,Singapore
E Vukusic,12,24,1.0,3.0,Croatia
E Wachira,314,380,28.0,4.957894736842105,Kenya
E Waithaka,65,90,4.0,4.333333333333333,Kenya
E Walker,20,19,0.0,6.315789473684211,Isle of Man
EA Burns,18,24,0.0,4.5,Australia
EA Osborne,257,265,17.0,5.818867924528302,Australia
EA Perry,757,846,54.0,5.368794326241135,Australia
EAJ Richardson,516,554,34.0,5.588447653429603,Ireland
EAS Ferrary,73,79,7.0,5.544303797468355,Gibraltar
EB Ringera,379,318,17.0,7.150943396226415,Kenya
EC Bargna,247,231,6.0,6.415584415584416,Germany
ECB Moore,119,102,8.0,7.0,Italy
ED Silva,79,71,3.0,6.67605633802817,Kuwait
EE Corder,21,20,0.0,6.300000000000001,Netherlands
EH Hutchinson,36,50,2.0,4.32,United States of America
EJ Carson,400,379,20.0,6.33245382585752,New Zealand
EJ Tice,231,199,6.0,6.964824120603016,Ireland
EJB Miles,199,177,13.0,6.745762711864407,Jersey
EK Hubbard,98,97,2.0,6.061855670103093,Hong Kong
EL Arlott,168,126,7.0,8.0,England
EL Bartram,235,223,13.0,6.32286995515695,Italy
EM Bermingham,113,111,6.0,6.108108108108109,New Zealand
EMDY Munaweera,71,45,1.0,9.466666666666669,Sri Lanka
EN Lynch,505,585,36.0,5.17948717948718,Netherlands
ER Oza,583,636,35.0,5.5,United Arab Emirates
ET Williams,39,26,1.0,9.0,Cook Islands
EU Kejarukua,220,326,16.0,4.049079754601227,Namibia
Eashal Ibrahim,57,34,0.0,10.058823529411764,Maldives
Ebadat Hossain,42,26,2.0,9.692307692307692,Bangladesh
Ehsan Khan,923,904,62.0,6.126106194690265,Hong Kong
Ehsan Nawaz,37,22,1.0,10.090909090909092,Hong Kong
Elan Talker,69,63,2.0,6.571428571428572,Israel
Elias Hasan,145,87,2.0,10.0,Estonia
Elias Sunny,48,30,0.0,9.6,Bangladesh
Elias Tilman,71,62,4.0,6.870967741935484,Timor-Leste
Emaan Ejaz,142,77,2.0,11.064935064935064,Saudi Arabia
Emilia Toro,29,19,0.0,9.157894736842106,Other
Emily Merrien,65,69,6.0,5.652173913043479,Other
Emily Sirs,5,12,0.0,2.5,Indonesia
Emma Patel,59,37,2.0,9.567567567567568,France
Emmanuella Nyaaba,26,29,1.0,5.379310344827586,Other
Esam Rahman,20,17,0.0,7.0588235294117645,Japan
Esperanza Rubio,116,70,3.0,9.942857142857145,Other
Ethan D'Souza,13,12,0.0,6.5,United Arab Emirates
Eva Somsel Yangzom,10,6,0.0,10.0,Bhutan
Ezgi Nur Kilic,109,122,8.0,5.360655737704918,Turkey
F Akankwasa,197,169,12.0,6.994082840236686,Uganda
F Bangur,46,32,0.0,8.625,Sierra Leone
F Banunaek,976,892,53.0,6.565022421524664,Indonesia
F Behardien,19,24,3.0,4.75,South Africa
F Chipare,341,283,11.0,7.229681978798586,Zimbabwe
F Choudary,32,18,1.0,10.666666666666666,Sweden
F Clarke,27,28,1.0,5.785714285714286,Isle of Man
F Copley,13,24,2.0,3.25,Jersey
F Damiao Couana,285,234,8.0,7.307692307692307,Mozambique
F Eseigbe,162,219,10.0,4.438356164383562,Nigeria
F Guirrugo,39,29,0.0,8.068965517241379,Mozambique
F Hand,119,73,1.0,9.78082191780822,Ireland
F Khaliq,41,48,3.0,5.125,Belgium
F Martin,24,29,1.0,4.965517241379311,Isle of Man
F Mutua,251,205,16.0,7.346341463414634,Kenya
F Najjumba,23,24,1.0,5.75,Uganda
F Nsubuga,459,610,28.0,4.514754098360656,Uganda
F Odhiambo,177,211,11.0,5.033175355450237,Kenya
F Overdijk,388,347,24.0,6.708933717579251,Netherlands
F Pessima,82,136,9.0,3.617647058823529,Sierra Leone
F Samanyika,112,98,2.0,6.857142857142857,Botswana
F Sisifo,55,47,2.0,7.0212765957446805,Samoa
F Song,25,38,2.0,3.947368421052632,China
F Stoman,248,249,16.0,5.975903614457831,Portugal
F Tanguy,165,207,9.0,4.782608695652174,Jersey
F Zirahangaje,28,21,0.0,8.0,Rwanda
F du Plessis,3,8,0.0,2.25,South Africa
FA Allen,466,372,17.0,7.516129032258064,West Indies
FA Cossa,285,244,14.0,7.008196721311474,Mozambique
FA Sargent,116,110,5.0,6.327272727272726,Ireland
FC Jonas,448,419,19.0,6.41527446300716,New Zealand
FC Leydon-Davis,25,25,1.0,6.0,New Zealand
FC Muniz,41,48,1.0,5.125,Brazil
FDM Devonshire,13,13,1.0,6.0,New Zealand
FG Kemp,227,192,11.0,7.09375,England
FH Edwards,324,248,14.0,7.838709677419354,West Indies
FJ Klaassen,527,406,18.0,7.788177339901477,Netherlands
FJ Mpegna,37,13,0.0,17.076923076923077,Cameroon
FL Albanjari,4,9,2.0,2.6666666666666665,Indonesia
FL Mackay,109,102,10.0,6.411764705882353,New Zealand
FL Patel,76,46,1.0,9.91304347826087,Panama
FN Walsh,59,24,2.0,14.75,Philippines
FO Kibasu,86,85,5.0,6.070588235294117,Tanzania
FR Davies,270,247,14.0,6.558704453441296,England
Fahad Tariq,18,12,0.0,9.0,United Arab Emirates
Faheem Ashraf,660,504,28.0,7.857142857142858,Pakistan
Faheem Nazir,171,139,8.0,7.381294964028776,Switzerland
Fahima Khatun,842,825,45.0,6.123636363636363,Bangladesh
Faisal Khan,115,67,2.0,10.298507462686567,Saudi Arabia
Faizal Salehji,15,14,0.0,6.428571428571429,Panama
Fakhar Zaman,12,6,0.0,12.0,Pakistan
Fakhrul Mohon,62,61,3.0,6.0983606557377055,Portugal
Fanyan Mughal,342,305,16.0,6.727868852459016,Malta
Farhad Reza,210,126,5.0,10.0,Bangladesh
Farhan Ahmed,38,30,1.0,7.6,United Arab Emirates
Farial Zia Safdar,21,29,2.0,4.344827586206897,Norway
Fariha Trisna,275,212,12.0,7.783018867924529,Bangladesh
Farzan Afzal,46,74,4.0,3.72972972972973,Spain
Fathimath Anaal,4,7,0.0,3.4285714285714284,Maldives
Fathimath Malha,26,13,0.0,12.0,Maldives
Fatima Amir,10,9,0.0,6.666666666666667,Hong Kong
Fatima Sana,739,609,34.0,7.280788177339901,Pakistan
Fawad Ahmed,27,24,3.0,6.75,Australia
Fawad Alam,57,48,4.0,7.125,Pakistan
Fayaz Khan,164,175,15.0,5.622857142857143,Germany
Fayyaz Butt,726,547,33.0,7.963436928702011,Oman
Fazil Muhammad,67,54,4.0,7.444444444444445,South Korea
Fazil Rahman,114,99,11.0,6.90909090909091,Malta
Festus Benn,282,204,10.0,8.294117647058822,Bahamas
Firas Hussain,55,43,4.0,7.674418604651163,Bulgaria
Fitri Sham,377,322,18.0,7.024844720496894,Malaysia
Fiza,12,14,1.0,5.142857142857142,Oman
Florencia Martinez,71,33,0.0,12.909090909090908,Other
Franz Bur,16,13,2.0,7.384615384615385,Argentina
G Ayan,110,119,3.0,5.546218487394958,Turkey
G Bakiweyem,394,352,16.0,6.715909090909092,Ghana
G Bruno,43,27,2.0,9.555555555555555,Turks and Caicos Island
