bowler,runs_conceded,balls_bowled,wickets_taken,economy
A Shukla,614,503,29.0,7.324055666003977
A Simelane,173,93,3.0,11.161290322580644
A Sokovagone,25,13,0.0,11.538461538461538
A Stocks,171,205,12.0,5.004878048780488
A Stoilova,24,9,0.0,16.0
A Sutherland,334,343,15.0,5.8425655976676385
A Suwanchonrathi,26,44,3.0,3.545454545454546
A Symonds,91,64,3.0,8.53125
A Tagilala,21,21,0.0,6.0
A Taylor,30,47,2.0,3.8297872340425534
A Thorpe,171,218,15.0,4.706422018348624
A Trivedi,15,6,0.0,15.0
A Turay,75,71,9.0,6.338028169014084
A Turkmen,211,205,12.0,6.175609756097561
A Vaidya,103,128,8.0,4.828125
A Vailoa,53,48,2.0,6.625
A Vala,311,266,20.0,7.015037593984962
A Venkatesh,173,138,16.0,7.521739130434783
A Vessik,123,211,14.0,3.4976303317535544
A Wanjira,117,141,7.0,4.9787234042553195
A Wellington,58,68,7.0,5.117647058823529
A Wright,207,189,8.0,6.571428571428572
A Yon,88,77,5.0,6.857142857142857
A Zampa,1787,1439,70.0,7.451007644197359
A Zimunu,39,32,0.0,7.3125
AA Alleyne,617,468,16.0,7.910256410256411
AA Banner,17,12,0.0,8.5
AA Gajic,286,220,16.0,7.800000000000001
AA Hussein,55,40,2.0,8.25
AA Jimoh,36,37,3.0,5.837837837837839
AA Navicha,123,99,8.0,7.454545454545455
AA Noffke,23,24,1.0,5.75
AA Paradkar,19,13,0.0,8.769230769230768
AA Patil,439,435,24.0,6.055172413793104
AA Rahayu,218,276,21.0,4.739130434782608
AAH Bhikari,12,7,1.0,10.285714285714285
AAM Eliane,78,63,1.0,7.428571428571429
AAP Atkinson,65,38,3.0,10.263157894736842
AAP Rivero,199,237,17.0,5.037974683544304
AAhan Achar,28,24,1.0,7.0
AB Agarkar,50,39,2.0,7.692307692307693
AB Dinda,95,81,7.0,7.037037037037038
AB Kamara,170,144,8.0,7.083333333333334
AB Kaur,175,157,5.0,6.687898089171974
AB Mengoumou,57,25,1.0,13.68
AB Slebsager,66,69,3.0,5.739130434782609
ABY Smith,172,184,6.0,5.608695652173913
AC Agar,873,743,27.0,7.049798115746972
AC Botha,57,62,7.0,5.516129032258064
AC Brodin,24,24,1.0,6.0
AC Douglas,81,100,12.0,4.86
AC Evans,596,445,32.0,8.035955056179775
AC Jayangani,790,696,42.0,6.810344827586206
AC Kerr,1015,968,49.0,6.291322314049587
AC Mushangwe,23,56,8.0,2.4642857142857144
AC Septien,40,73,4.0,3.287671232876712
AC Voges,5,12,2.0,2.5
ACF Stokes,154,173,10.0,5.341040462427745
AD Diwan Ali,21,19,0.0,6.631578947368421
AD Mascarenhas,165,104,4.0,9.519230769230768
AD Mathews,644,576,23.0,6.708333333333334
AD Russell,1005,667,33.0,9.04047976011994
ADL Stokoe,67,74,3.0,5.4324324324324325
AE Isesele,16,17,2.0,5.647058823529411
AE Paraam,208,134,5.0,9.313432835820896
AE Satterthwaite,194,150,5.0,7.76
AF Aoina,122,161,8.0,4.546583850931677
AF Ifill,261,222,10.0,7.054054054054054
AF Mapu,67,84,1.0,4.7857142857142865
AF Milne,817,585,34.0,8.379487179487178
AG Cremer,262,230,12.0,6.834782608695653
AG Rao,80,88,3.0,5.454545454545454
AG Weligamage,228,139,6.0,9.841726618705035
AH Maqsood,555,577,31.0,5.7712305025996535
AI Chudasama,222,257,13.0,5.182879377431907
AIV Benatar,60,71,5.0,5.070422535211268
AJ Finch,18,6,0.0,18.0
AJ Hall,39,24,0.0,9.75
AJ Hosein,1107,954,37.0,6.962264150943397
AJ Kenealy,154,138,2.0,6.695652173913044
AJ Parmar,192,202,18.0,5.702970297029703
AJ Redmond,24,18,2.0,8.0
AJ Turner,40,46,1.0,5.217391304347826
AJ Tye,606,461,39.0,7.887201735357918
AJA Samuels,139,108,3.0,7.722222222222221
AK Bangura,138,121,7.0,6.84297520661157
AK Gokoel,110,111,10.0,5.945945945945946
AK Gonerara,114,114,6.0,6.0
AK Kitchen,3,6,1.0,3.0
AK Maguire,168,128,10.0,7.875
AK Markram,347,249,9.0,8.361445783132531
AK Muslar,36,25,1.0,8.64
AK Peters,35,30,1.0,7.0
AL Kerai,10,6,0.0,10.0
AL Kerrison,40,30,0.0,8.0
AL Mangue,73,42,1.0,10.428571428571429
AL Mundundo,39,53,1.0,4.415094339622641
AL Phehlukwayo,568,371,20.0,9.185983827493262
AL Seddon,71,51,0.0,8.352941176470587
AL Stephen,189,175,14.0,6.48
AL Tiwari,21,15,0.0,8.399999999999999
AL Watkins,18,25,0.0,4.32
AM Ellis,91,50,2.0,10.92
AM Fernando,141,74,3.0,11.432432432432433
AM Guruge,22,25,2.0,5.28
AM Hardie,310,222,13.0,8.378378378378379
AM Healey,108,148,7.0,4.378378378378378
AM Kamara,415,455,15.0,5.472527472527473
AM Kimote,756,618,45.0,7.339805825242718
AM Kupito,12,8,0.0,9.0
AM Patel,30,29,1.0,6.206896551724139
AM Peterson,165,133,6.0,7.443609022556391
AM Phangiso,142,104,7.0,8.192307692307693
AM Rajpurohit,82,43,2.0,11.44186046511628
AM Zepeda,156,179,4.0,5.229050279329609
AN Davidson-Richards,22,19,3.0,6.947368421052632
AN Hyobeom,46,33,1.0,8.363636363636363
AN Kelly,524,530,50.0,5.932075471698113
AN Lascu,150,106,8.0,8.49056603773585
AN Toube,68,55,2.0,7.418181818181818
AO Suji,27,19,1.0,8.526315789473685
APC Kilowan,20,21,3.0,5.7142857142857135
AR Adams,90,73,4.0,7.397260273972603
AR Bisht,9,6,0.0,9.0
AR Cusack,370,325,24.0,6.8307692307692305
AR Leo,79,64,7.0,7.40625
AR McBrine,239,206,9.0,6.961165048543689
AR Menon,12,6,0.0,12.0
AR Naidoo,52,18,0.0,17.333333333333332
AR Nurse,220,164,6.0,8.048780487804878
AR Patel,710,584,30.0,7.294520547945206
AR Perez Rivero,20,19,2.0,6.315789473684211
AR Puri,501,406,20.0,7.403940886699508
AR Ramjani,466,552,47.0,5.065217391304348
AR Shetty,32,31,0.0,6.193548387096774
AR Valdez,149,128,3.0,6.984375
AS Abioye,56,43,3.0,7.813953488372094
AS Dean,14,12,0.0,7.0
AS Hansra,79,73,6.0,6.493150684931507
AS Joseph,828,539,30.0,9.217068645640074
AS Mehmi,132,111,5.0,7.135135135135135
AS Qwele,104,167,13.0,3.7365269461077846
AS Taai,9,24,2.0,2.25
AS Wikman,43,34,1.0,7.588235294117647
AS Withanage,69,45,1.0,9.200000000000001
AS van Beuge,168,145,7.0,6.951724137931035
ASF Sirah,306,254,16.0,7.228346456692914
ASS Fletcher,1153,1050,53.0,6.588571428571428
