bowler,runs_conceded,balls_bowled,wickets_taken,economy
BV Vitori,154,124,2.0,7.451612903225806
BW Hilfenhaus,33,26,1.0,7.615384615384615
Bakhtiar Tahiri,75,46,0.0,9.782608695652174
Baljit Singh,87,75,5.0,6.959999999999999
Baseer Khan,37,52,5.0,4.269230769230769
Bashar Khan,36,43,4.0,5.023255813953488
Basharat Hussain,62,37,0.0,10.054054054054054
Bashir Ahmad,36,12,0.0,18.0
Bashir Shah,81,86,6.0,5.651162790697675
Basil Hameed,267,252,17.0,6.357142857142858
Baz Aybui,122,106,7.0,6.90566037735849
Bhargav Narasimha,6,7,1.0,5.142857142857142
Bibina Baby,34,29,0.0,7.034482758620689
Bilal Aftab,14,12,1.0,7.0
Bilal Ahmad Mir,132,91,7.0,8.703296703296703
Bilal Hassun,389,344,21.0,6.784883720930233
Bilal Khan,932,849,68.0,6.586572438162545
Bilal Masud,123,115,11.0,6.417391304347826
Bilal Muhammad,359,331,23.0,6.507552870090635
Bilal Safdar,19,24,3.0,4.75
Bilal Tahir,48,55,4.0,5.236363636363636
Bilal Zalmai,654,551,23.0,7.121597096188747
Bilawal Bhatti,159,98,2.0,9.73469387755102
Bipin Kumar,115,83,2.0,8.313253012048193
Bismah Maroof,340,330,12.0,6.181818181818182
Bukhar Illikkal,60,48,1.0,7.5
C Abel,108,121,10.0,5.355371900826446
C Agafili,35,46,2.0,4.565217391304348
C Aweko,756,1116,75.0,4.064516129032258
C Bah,312,278,9.0,6.733812949640287
C Beckford,26,14,3.0,11.142857142857142
C Bevin,40,20,0.0,12.0
C Bosch,214,138,6.0,9.304347826086957
C Boyle,97,107,4.0,5.4392523364485985
C Breteche,16,26,2.0,3.6923076923076925
C Bull,299,358,17.0,5.011173184357542
C Bwanali,63,58,3.0,6.517241379310345
C Campher,573,432,16.0,7.958333333333333
C Cassell,48,24,2.0,12.0
C Chatonzwa,18,18,2.0,6.0
C Chatphaisan,45,57,4.0,4.7368421052631575
C Chukwuonye,49,59,3.0,4.983050847457627
C Cirlig,37,29,1.0,7.655172413793104
C Connolly,59,37,1.0,9.567567567567567
C Dickson,298,268,11.0,6.671641791044776
C Floyd,73,42,1.0,10.428571428571429
C Forshaw,209,160,17.0,7.8374999999999995
C Green,164,107,8.0,9.19626168224299
C Gwilliam-Lopez,19,19,1.0,6.0
C Henery,98,124,8.0,4.741935483870968
C Hinze,123,120,6.0,6.1499999999999995
C Jennings,66,76,4.0,5.210526315789474
C Karunaratne,540,429,16.0,7.5524475524475525
C Kyewuta,459,436,29.0,6.31651376146789
C Lokuge,79,129,5.0,3.6744186046511627
C Magaia,98,98,9.0,6.0
C Mahamalage,299,314,12.0,5.713375796178344
C Miles,20,15,0.0,8.0
C Milner,41,30,0.0,8.2
C Moyo,11,13,0.0,5.076923076923077
C Munro,82,40,1.0,12.299999999999999
C Murray,470,433,22.0,6.51270207852194
C Murrombe,99,57,0.0,10.421052631578949
C Mutasa,75,51,0.0,8.823529411764707
C Namugenyi,30,45,1.0,4.0
C Olphert,47,23,0.0,12.260869565217392
C Ostergaard,87,112,4.0,4.660714285714286
C Outerbridge,21,24,1.0,5.25
C Pengkumta,292,268,13.0,6.537313432835822
C Perry,202,243,14.0,4.987654320987654
C Pervez,12,6,0.0,12.0
C Piparo,9,7,1.0,7.714285714285715
C Prasad,25,39,4.0,3.8461538461538467
C Raack,190,177,8.0,6.4406779661016955
C Roberts,27,25,4.0,6.48
C Rububagumya,822,655,40.0,7.529770992366412
C Rumistrzewicz,272,325,28.0,5.021538461538461
C Sewsunker,152,99,1.0,9.212121212121211
C Shivakumar,52,30,0.0,10.4
C Smith,76,77,3.0,5.922077922077922
C Sosa,170,208,8.0,4.903846153846153
C Sridev,65,49,2.0,7.959183673469387
C Sutthiruang,587,814,40.0,4.326781326781327
C Tchale,182,115,5.0,9.495652173913044
C Udekwe,185,224,14.0,4.955357142857142
C Umutonni,7,6,0.0,7.0
C Viljoen,142,129,10.0,6.604651162790697
C Waiswa,108,84,8.0,7.714285714285715
C Wickramasinghe,17,24,1.0,4.25
C Wijesinghe,69,115,5.0,3.5999999999999996
C Wright,480,386,20.0,7.461139896373057
C Wyngaard,8,6,0.0,8.0
C Zavoiu,45,32,3.0,8.4375
C de Grandhomme,302,220,10.0,8.236363636363636
C de Lange,680,773,35.0,5.278137128072444
C van der Westhuizen,12,25,2.0,2.88
CA Henry,433,378,11.0,6.8730158730158735
CA Keita,20,24,3.0,5.0
CA Liyanage,14,6,0.0,14.0
CA Soper,299,224,11.0,8.008928571428571
CA Young,998,759,53.0,7.889328063241107
CAH Stevenson,61,31,2.0,11.806451612903226
CAJ Meschede,85,100,5.0,5.1
CAK Rajitha,374,215,10.0,10.43720930232558
CB Mpofu,612,367,17.0,10.005449591280653
CB Roposo,244,217,15.0,6.746543778801843
CB Sole,326,200,10.0,9.78
CBRLS Kumara,293,224,16.0,7.848214285714285
CC Blake,18,12,0.0,9.0
CC van Slobbe,12,20,1.0,3.5999999999999996
CD Barnwell,24,14,1.0,10.285714285714285
CD Mboe,12,21,3.0,3.4285714285714284
CD de Lange,89,94,7.0,5.680851063829787
CE Dean,459,436,26.0,6.31651376146789
CE McConchie,37,30,1.0,7.4
CG Osborne,25,18,3.0,8.333333333333332
CG Williams,72,54,4.0,8.0
CH Abeyratne,87,67,1.0,7.791044776119403
CH Gayle,264,217,12.0,7.299539170506913
CH Morris,395,287,16.0,8.257839721254356
CH van Koolwijk,8,13,1.0,3.6923076923076925
CI Manidom,94,78,4.0,7.23076923076923
CJ Ana,18,32,1.0,3.375
CJ Anderson,355,238,10.0,8.949579831932773
CJ Boyce,93,90,5.0,6.200000000000001
CJ Chibhabha,240,193,10.0,7.461139896373057
CJ Dala,163,102,7.0,9.588235294117649
CJ Delany,26,12,0.0,13.0
CJ Dias,84,101,4.0,4.99009900990099
CJ Gannon,21,26,3.0,4.846153846153847
CJ Green,37,24,0.0,9.25
CJ Jordan,1795,1257,81.0,8.568019093078759
CJ Langford,163,161,8.0,6.074534161490684
CJ McKay,89,67,2.0,7.970149253731344
CJ Metcalfe,265,293,18.0,5.426621160409557
CJA Amini,490,449,26.0,6.5478841870824045
CJPF Kalugamage,162,140,8.0,6.942857142857143
CK Jasmat,174,164,7.0,6.365853658536586
CK Langeveldt,129,102,7.0,7.588235294117647
CL Cairns,52,48,2.0,6.5
CL Tryon,579,538,17.0,6.4572490706319705
CL White,20,19,1.0,6.315789473684211
CM Akachukwu,102,80,4.0,7.6499999999999995
CM Edwards,33,19,0.0,10.421052631578949
CM Gough,268,300,15.0,5.359999999999999
CM Greechan,208,333,19.0,3.7477477477477477
CM Madsen,20,15,1.0,8.0
CM Mbebe,27,25,0.0,6.48
CM Wright,29,25,3.0,6.959999999999999
CN Ackermann,87,85,2.0,6.141176470588235
CN Greaves,265,207,7.0,7.6811594202898545
CO Obuya,137,145,10.0,5.6689655172413795
CP Schofield,46,31,1.0,8.903225806451612
CPPM Sadun,165,152,2.0,6.5131578947368425
CR Brathwaite,644,440,19.0,8.781818181818181
CR Seneviratna,169,154,11.0,6.584415584415584
CR Smith,26,24,0.0,6.5
CR Woakes,417,313,11.0,7.9936102236421736
CRD Fernando,146,119,7.0,7.3613445378151265
CS Fraser,244,200,12.0,7.32
CS MacLeod,98,86,2.0,6.837209302325581
CS Martin,95,74,5.0,7.702702702702703
CS Nascimento,166,185,11.0,5.383783783783784
CT Mumba,105,68,4.0,9.264705882352942
CT Mutombodzi,106,85,3.0,7.482352941176471
CT Tremlett,46,27,2.0,10.222222222222221
CV Harrison,46,30,1.0,9.200000000000001
CV Varun,289,271,24.0,6.398523985239852
CW Perchard,409,388,30.0,6.324742268041238
Cai Yuzhi,156,182,16.0,5.142857142857142
Camila Valdes,106,54,2.0,11.777777777777779
Chado Om,41,38,3.0,6.473684210526316
Chan Ka Man,538,748,44.0,4.315508021390374
Charanjeet Singh,17,12,0.0,8.5
Chare Smith,78,76,5.0,6.157894736842106
Chaudhary Akram,14,19,2.0,4.421052631578947
Chaya Mughal,396,519,20.0,4.578034682080925
Chayanisa Phengpaen,24,27,0.0,5.333333333333333
Chen Xinyu,21,23,0.0,5.478260869565217
Chen Zhuo Yue,167,125,6.0,8.016
Chinyenum George,12,12,1.0,6.0
Constanza Oyarce,152,65,0.0,14.03076923076923
Constanza Vergara,30,12,0.0,15.0
Cynthia Konadu,31,25,1.0,7.4399999999999995
D Abeyrathna,142,109,7.0,7.81651376146789
D Ahir,54,42,1.0,7.714285714285715
D Ajekun,40,43,2.0,5.5813953488372094
D Bhaskara,71,53,1.0,8.037735849056602
D Birrell,158,149,12.0,6.3624161073825505
D Bishoo,59,42,1.0,8.428571428571427
D Bourne,29,29,1.0,6.0
D Brown,385,360,14.0,6.416666666666666
D Dawa,91,80,7.0,6.824999999999999
D Devnarain,8,6,0.0,8.0
D Dewald,126,110,6.0,6.872727272727273
D Dhingra,45,42,0.0,6.428571428571429
D Dlamini,74,62,1.0,7.161290322580646
D Doyle-Calle,10,6,0.0,10.0
D Dzimau,33,44,2.0,4.5
D Ferreira,71,48,1.0,8.875
D Finau,33,18,1.0,11.0
D Foerster,199,276,17.0,4.326086956521739
D Ganesh,127,124,7.0,6.14516129032258
D Gim,24,18,1.0,8.0
D Golechha,55,109,6.0,3.0275229357798166
D Hazell,509,560,25.0,5.453571428571428
D Hemalatha,63,55,2.0,6.872727272727273
D Heyliger,452,347,21.0,7.815561959654179
D Igihozo,11,25,1.0,2.64
D Jakiel,293,230,18.0,7.643478260869565
D Jamyansuren,60,27,1.0,13.333333333333334
D Jansen,61,56,1.0,6.535714285714285
D Johnson,311,205,11.0,9.102439024390243
D Kalvin,102,73,3.0,8.383561643835616
D Kansonkho,42,47,3.0,5.361702127659575
D Kegasitswe,156,79,3.0,11.848101265822786
D Klein,368,355,15.0,6.219718309859155
D Koralalage,63,124,9.0,3.0483870967741935
D Lohia,97,102,5.0,5.705882352941176
D Madushanka,250,159,10.0,9.433962264150944
D Maisuria,301,296,36.0,6.101351351351351
D Marks,190,133,7.0,8.571428571428571
D Medagoda,133,169,7.0,4.721893491124261
D Mogan,63,25,0.0,15.120000000000001
D Muhumuza,150,129,7.0,6.976744186046512
D Mullen,106,88,6.0,7.2272727272727275
D Murphy,74,107,5.0,4.149532710280374
D Myers,43,19,0.0,13.578947368421051
D Nanayakkara,183,148,7.0,7.418918918918918
D Nanda,33,62,5.0,3.193548387096774
D Nikolov,63,38,1.0,9.947368421052632
D Njoroge,13,6,0.0,13.0
D Panda,53,48,6.0,6.625
D Parashar,380,319,15.0,7.147335423197492
D Paterson,154,97,6.0,9.525773195876289
D Polpitiya,82,55,4.0,8.945454545454545
D Pretorius,307,242,19.0,7.611570247933885
D Ramani,167,120,6.0,8.35
D Ravu,350,253,15.0,8.300395256916996
D Rawat,121,98,7.0,7.408163265306122
D Robson,202,201,12.0,6.029850746268657
D Ruynekova,143,132,4.0,6.5
D Sabir,162,149,12.0,6.523489932885906
D Samarawickrama,16,8,1.0,12.0
D Saxena,40,32,2.0,7.5
D St Ange,20,30,3.0,4.0
D Staddon,2,7,1.0,1.7142857142857142
D Suzuki,192,134,9.0,8.597014925373134
D Svilicic,106,43,2.0,14.790697674418604
D Tanase,24,29,0.0,4.9655172413793105
D Tekyildirim,30,27,4.0,6.666666666666667
D Tucker,111,96,2.0,6.9375
D Unhale,54,77,4.0,4.207792207792208
D Uwizeye,6,15,1.0,2.4000000000000004
D Visser,171,139,11.0,7.381294964028776
D Wabwire,71,63,2.0,6.761904761904762
D Wangmo,124,131,9.0,5.679389312977099
D Wheatley,34,15,0.0,13.6
D Wiese,620,552,37.0,6.739130434782609
D Wotu,165,168,11.0,5.892857142857142
D Wulandari,47,60,1.0,4.7
D la Cock,11,6,0.0,11.0
D van Niekerk,515,549,31.0,5.628415300546449
DA Blignaut,267,244,18.0,6.5655737704918025
DAJ Bracewell,336,218,12.0,9.24770642201835
DAL Paramitha,140,203,9.0,4.137931034482759
DAM Louis,167,137,12.0,7.313868613138686
DAS Gunaratne,184,135,5.0,8.177777777777777
DB Loic,126,143,8.0,5.286713286713287
DB Sharma,1517,1439,86.0,6.325225851285615
DBL Powell,10,19,1.0,3.1578947368421053
DC Delany,122,90,5.0,8.133333333333333
DC Drakes,225,151,4.0,8.940397350993377
DC Smith,368,279,13.0,7.913978494623656
DC Stovell,167,123,7.0,8.146341463414634
DE Bernard,19,25,1.0,4.5600000000000005
DE Bollinger,159,147,7.0,6.4897959183673475
DE Burgess,67,44,1.0,9.136363636363637
DE Martel,50,54,2.0,5.555555555555555
DE Roache,23,21,3.0,6.571428571428572
DEM Carter,136,109,1.0,7.486238532110092
DF Jacobs,13,24,4.0,3.25
DG Blampied,216,173,6.0,7.491329479768787
DG Weakley,147,87,5.0,10.137931034482758
DGAPD Wiswi,82,86,7.0,5.72093023255814
DI Dusabemungu,7,6,0.0,7.0
DJ Bravo,1297,967,61.0,8.04756980351603
DJ Hawoe,1035,947,52.0,6.557550158394932
DJ Hooda,35,48,2.0,4.375
DJ Hussey,225,192,9.0,7.03125
DJ Mitchell,62,33,3.0,11.272727272727273
DJ Mokoatsela,23,20,0.0,6.8999999999999995
DJ Turkich,33,48,2.0,4.125
DJ Willey,513,404,18.0,7.618811881188119
DJG Sammy,504,412,24.0,7.339805825242718
DJM Short,132,103,4.0,7.689320388349515
DJS Dottin,522,462,34.0,6.779220779220779
DK Anefie,195,210,11.0,5.571428571428571
DK Dahyabhai Ahir,34,48,1.0,4.25
DK Mathias,67,57,2.0,7.052631578947369
DK Pallekonda,150,91,5.0,9.89010989010989
DK Shetty,261,259,16.0,6.046332046332046
DKD Warnakulasuriya,48,56,5.0,5.142857142857142
DL Brangman,192,253,22.0,4.553359683794466
DL Chahar,419,286,14.0,8.79020979020979
DL Graham,71,65,2.0,6.553846153846154
DL Maddy,27,18,3.0,9.0
DL Vettori,224,265,14.0,5.071698113207548
DLS van Bunge,14,12,1.0,7.0
DM Braat,30,50,1.0,3.5999999999999996
DM Gondaria,65,62,3.0,6.290322580645161
DM Kavinisseri,21,23,0.0,5.478260869565217
DM Kimmince,508,476,27.0,6.4033613445378155
DM Nakrani,784,806,56.0,5.836228287841191
DM de Silva,150,145,10.0,6.206896551724139
DMW Rawlins,327,324,17.0,6.055555555555555
DN Wellalage,91,70,3.0,7.800000000000001
DN Wyatt,187,204,10.0,5.5
DNA Ankrah,63,54,2.0,7.0
DO Leicher,59,43,2.0,8.232558139534884
DP David,19,18,1.0,6.333333333333334
DP Hernandez,13,13,0.0,6.0
DP Nannes,256,195,12.0,7.876923076923077
DP Vaidya,123,98,5.0,7.530612244897959
DPMD Jayawardene,8,6,0.0,8.0
DPS Tyagi,124,96,6.0,7.75
DR Briggs,140,76,2.0,11.052631578947368
DR Brown,45,27,0.0,10.0
DR Gibson,113,110,5.0,6.163636363636364
DR Hooper,183,169,11.0,6.497041420118343
DR Mousley,47,37,2.0,7.621621621621621
DR Sams,160,106,5.0,9.056603773584907
DR Smith,38,18,2.0,12.666666666666668
DR Tuffey,68,49,3.0,8.326530612244898
DS Airee,611,564,31.0,6.5
DS Bajwa,26,19,1.0,8.210526315789474
DS Kulkarni,32,26,1.0,7.384615384615385
DS Vlachopoulou,3,16,2.0,1.125
DSK Madushanka,41,20,0.0,12.299999999999999
DT Christian,300,219,12.0,8.21917808219178
DT Doram,155,126,6.0,7.380952380952381
DT Johnston,302,289,12.0,6.269896193771626
DT Tiripano,163,113,4.0,8.654867256637168
DV Devjani Mutreja,51,40,3.0,7.6499999999999995
DV Macome,93,75,4.0,7.4399999999999995
DV Varghese,249,161,4.0,9.279503105590061
DVD Madampage,123,89,5.0,8.292134831460675
DW Steyn,538,462,25.0,6.987012987012987
Damini Ramesh,105,102,6.0,6.1764705882352935
Danish Aziz,29,18,2.0,9.666666666666668
Danyal Raja,317,212,8.0,8.971698113207546
Davion Codner,33,19,1.0,10.421052631578949
Dawood Ahmadzai,256,224,12.0,6.857142857142857
Dayal Joy,56,35,1.0,9.600000000000001
Dayyaan Galiem,21,27,2.0,4.666666666666667
Delawar Khan,113,85,5.0,7.976470588235294
Deng Jinqi,67,51,2.0,7.882352941176471
Dhananjay Rao,49,44,5.0,6.681818181818182
Diana Baig,575,564,31.0,6.117021276595745
Divya Kandpal,7,6,0.0,7.0
Dok Da Nit,60,67,4.0,5.373134328358209
E Anyipo,320,401,20.0,4.788029925187033
E Batkhuyag,25,20,0.0,7.5
E Beukes,180,149,9.0,7.248322147651007
E Bisht,119,147,13.0,4.857142857142858
E Bourgaize,16,7,0.0,13.714285714285714
E Chigumbura,206,140,11.0,8.82857142857143
E Duffy,156,151,11.0,6.198675496688741
E Eduard,10,24,3.0,2.5
E Ernest,59,68,2.0,5.205882352941177
E Frimpong,16,30,1.0,3.2
E Gouge,137,157,9.0,5.235668789808917
E Guehoada,184,204,6.0,5.411764705882353
E Isaneez,37,34,1.0,6.529411764705882
E Jabarkhel,153,129,7.0,7.116279069767442
E Kabwere,111,143,9.0,4.6573426573426575
E Kahamker,35,22,0.0,9.545454545454545
E Kallous,122,101,7.0,7.247524752475247
E Kamara,320,364,15.0,5.274725274725275
E Karimi,77,68,6.0,6.794117647058823
E Konasova,42,35,0.0,7.199999999999999
E Kubwimana,318,221,21.0,8.633484162895927
E Kuchey,70,43,0.0,9.767441860465116
E Kuncova,220,201,3.0,6.567164179104477
E Kusuda-Nairn,87,103,3.0,5.067961165048543
E Kuyumcu,31,16,0.0,11.625
E Leie,33,19,1.0,10.421052631578949
E Malinga,62,50,3.0,7.4399999999999995
E Marx,85,80,1.0,6.375
E Mathew,176,137,12.0,7.708029197080291
E Mbofana,11,29,6.0,2.275862068965517
E Millington,32,19,0.0,10.105263157894736
E Ndubudem,21,25,2.0,5.04
E Niyomugabo,153,128,10.0,7.171875
E Ochieng,126,88,2.0,8.590909090909092
E Otieno,285,206,9.0,8.300970873786408
E Packard,60,44,1.0,8.181818181818182
E Prokic,111,105,4.0,6.342857142857143
E Richard,68,74,2.0,5.513513513513514
E Rukiriza,810,708,41.0,6.864406779661017
E Schiferli,114,93,2.0,7.35483870967742
E Sebareme,430,442,25.0,5.83710407239819
E Toguchi-Quinn,203,228,9.0,5.342105263157895
E Ungerman,69,82,4.0,5.048780487804878
E Vukusic,12,24,1.0,3.0
E Wachira,314,380,28.0,4.957894736842105
E Waithaka,65,90,4.0,4.333333333333333
E Walker,20,19,0.0,6.315789473684211
EA Burns,18,24,0.0,4.5
EA Osborne,257,265,17.0,5.818867924528302
EA Perry,757,846,54.0,5.368794326241135
EAJ Richardson,516,554,34.0,5.588447653429603
EAS Ferrary,73,79,7.0,5.544303797468355
EB Ringera,379,318,17.0,7.150943396226415
EC Bargna,247,231,6.0,6.415584415584416
ECB Moore,119,102,8.0,7.0
ED Silva,79,71,3.0,6.67605633802817
EE Corder,21,20,0.0,6.300000000000001
EH Hutchinson,36,50,2.0,4.32
EJ Carson,400,379,20.0,6.33245382585752
EJ Tice,231,199,6.0,6.964824120603016
EJB Miles,199,177,13.0,6.745762711864407
EK Hubbard,98,97,2.0,6.061855670103093
EL Arlott,168,126,7.0,8.0
EL Bartram,235,223,13.0,6.32286995515695
EM Bermingham,113,111,6.0,6.108108108108109
EMDY Munaweera,71,45,1.0,9.466666666666667
EN Lynch,505,585,36.0,5.17948717948718
ER Oza,583,636,35.0,5.5
ET Williams,39,26,1.0,9.0
EU Kejarukua,220,326,16.0,4.049079754601227
Eashal Ibrahim,57,34,0.0,10.058823529411764
Ebadat Hossain,42,26,2.0,9.692307692307693
Ehsan Khan,923,904,62.0,6.126106194690265
Ehsan Nawaz,37,22,1.0,10.090909090909092
Elan Talker,69,63,2.0,6.571428571428572
Elias Hasan,145,87,2.0,10.0
Elias Sunny,48,30,0.0,9.600000000000001
Elias Tilman,71,62,4.0,6.870967741935484
Emaan Ejaz,142,77,2.0,11.064935064935064
Emilia Toro,29,19,0.0,9.157894736842106
Emily Merrien,65,69,6.0,5.6521739130434785
Emily Sirs,5,12,0.0,2.5
Emma Patel,59,37,2.0,9.567567567567567
Emmanuella Nyaaba,26,29,1.0,5.379310344827586
Esam Rahman,20,17,0.0,7.0588235294117645
Esperanza Rubio,116,70,3.0,9.942857142857143
Ethan D'Souza,13,12,0.0,6.5
Eva Somsel Yangzom,10,6,0.0,10.0
Ezgi Nur Kilic,109,122,8.0,5.360655737704918
F Akankwasa,197,169,12.0,6.994082840236686
F Bangur,46,32,0.0,8.625
F Banunaek,976,892,53.0,6.565022421524664
F Behardien,19,24,3.0,4.75
F Chipare,341,283,11.0,7.229681978798586
F Choudary,32,18,1.0,10.666666666666666
F Clarke,27,28,1.0,5.785714285714286
F Copley,13,24,2.0,3.25
F Damiao Couana,285,234,8.0,7.307692307692307
F Eseigbe,162,219,10.0,4.438356164383562
F Guirrugo,39,29,0.0,8.068965517241379
F Hand,119,73,1.0,9.78082191780822
F Khaliq,41,48,3.0,5.125
F Martin,24,29,1.0,4.9655172413793105
F Mutua,251,205,16.0,7.346341463414634
F Najjumba,23,24,1.0,5.75
F Nsubuga,459,610,28.0,4.5147540983606556
F Odhiambo,177,211,11.0,5.033175355450237
F Overdijk,388,347,24.0,6.708933717579251
F Pessima,82,136,9.0,3.617647058823529
F Samanyika,112,98,2.0,6.857142857142857
F Sisifo,55,47,2.0,7.0212765957446805
F Song,25,38,2.0,3.947368421052632
F Stoman,248,249,16.0,5.975903614457831
F Tanguy,165,207,9.0,4.782608695652174
F Zirahangaje,28,21,0.0,8.0
F du Plessis,3,8,0.0,2.25
FA Allen,466,372,17.0,7.516129032258064
FA Cossa,285,244,14.0,7.008196721311474
FA Sargent,116,110,5.0,6.327272727272726
FC Jonas,448,419,19.0,6.41527446300716
FC Leydon-Davis,25,25,1.0,6.0
FC Muniz,41,48,1.0,5.125
FDM Devonshire,13,13,1.0,6.0
FG Kemp,227,192,11.0,7.09375
FH Edwards,324,248,14.0,7.838709677419354
FJ Klaassen,527,406,18.0,7.788177339901477
FJ Mpegna,37,13,0.0,17.076923076923077
FL Albanjari,4,9,2.0,2.6666666666666665
FL Mackay,109,102,10.0,6.411764705882353
FL Patel,76,46,1.0,9.91304347826087
FN Walsh,59,24,2.0,14.75
FO Kibasu,86,85,5.0,6.070588235294117
FR Davies,270,247,14.0,6.558704453441296
Fahad Tariq,18,12,0.0,9.0
Faheem Ashraf,660,504,28.0,7.857142857142858
Faheem Nazir,171,139,8.0,7.381294964028776
Fahima Khatun,842,825,45.0,6.123636363636363
Faisal Khan,115,67,2.0,10.298507462686567
Faizal Salehji,15,14,0.0,6.428571428571429
Fakhar Zaman,12,6,0.0,12.0
Fakhrul Mohon,62,61,3.0,6.0983606557377055
Fanyan Mughal,342,305,16.0,6.727868852459016
Farhad Reza,210,126,5.0,10.0
Farhan Ahmed,38,30,1.0,7.6
Farial Zia Safdar,21,29,2.0,4.344827586206897
Fariha Trisna,275,212,12.0,7.783018867924529
Farzan Afzal,46,74,4.0,3.72972972972973
Fathimath Anaal,4,7,0.0,3.4285714285714284
Fathimath Malha,26,13,0.0,12.0
Fatima Amir,10,9,0.0,6.666666666666667
Fatima Sana,739,609,34.0,7.280788177339901
Fawad Ahmed,27,24,3.0,6.75
Fawad Alam,57,48,4.0,7.125
Fayaz Khan,164,175,15.0,5.622857142857143
Fayyaz Butt,726,547,33.0,7.963436928702011
Fazil Muhammad,67,54,4.0,7.444444444444445
Fazil Rahman,114,99,11.0,6.90909090909091
Festus Benn,282,204,10.0,8.294117647058822
Firas Hussain,55,43,4.0,7.674418604651163
Fitri Sham,377,322,18.0,7.024844720496894
Fiza,12,14,1.0,5.142857142857142
Florencia Martinez,71,33,0.0,12.909090909090908
Franz Bur,16,13,2.0,7.384615384615385
G Ayan,110,119,3.0,5.546218487394958
G Bakiweyem,394,352,16.0,6.715909090909092
G Bruno,43,27,2.0,9.555555555555555
G Candiru,168,168,5.0,6.0
G Cengiz,79,55,1.0,8.618181818181817
G Chohan,255,162,6.0,9.444444444444445
G Coetzee,306,203,10.0,9.044334975369457
G Dempsey,148,156,10.0,5.692307692307692
G Fatouros,67,60,5.0,6.7
G Fernando,12,6,0.0,12.0
G Ford,55,59,1.0,5.59322033898305
G Goudie,30,18,1.0,10.0
G Ilarionova,100,61,1.0,9.836065573770492
G Ingabire,14,12,1.0,7.0
G Ishimwe,99,90,4.0,6.6000000000000005
G Jafta,46,62,4.0,4.451612903225806
G Johnson,24,24,0.0,6.0
G Kansonkho,24,12,1.0,12.0
G Kodali,326,266,13.0,7.353383458646617
G Kuthalingham,18,25,1.0,4.32
G Madanayake,85,111,2.0,4.594594594594595
G Mallett,108,141,15.0,4.595744680851064
G Matome,320,413,19.0,4.648910411622276
G Mckeon,16,24,0.0,4.0
G Morales,44,73,4.0,3.6164383561643834
G Motie,468,341,17.0,8.234604105571847
G Mubiru,12,6,0.0,12.0
G Ngegba,231,240,13.0,5.775
G Oliveira,61,49,2.0,7.469387755102041
G Ribeiro,14,14,1.0,6.0
G Sesay,278,326,29.0,5.116564417177914
G Setshwane,55,86,6.0,3.8372093023255816
G Shukla,131,197,7.0,3.9898477157360404
G Singh,102,112,7.0,5.464285714285714
G Stewart,110,124,8.0,5.32258064516129
G Sultana,123,103,4.0,7.16504854368932
G Toka,20,18,1.0,6.666666666666667
G Venkateswaran,179,114,6.0,9.421052631578947
G Wareham,586,631,43.0,5.572107765451664
G Wetherall,223,265,15.0,5.049056603773585
G Wijekoon,89,50,2.0,10.68
GA Elwiss,16,18,1.0,5.333333333333333
GA Lamb,34,24,2.0,8.5
GA Priandana,237,200,13.0,7.11
GA Rogers,52,26,0.0,12.0
GA Stuurman,29,14,0.0,12.42857142857143
GB Brent,53,44,3.0,7.2272727272727275
GB Hogg,306,215,4.0,8.539534883720929
GC Galanis,144,148,9.0,5.837837837837839
GC Murtaza,527,486,33.0,6.506172839506172
GC Smith,17,6,0.0,17.0
GC Tonge,25,24,1.0,6.25
GD Arta,357,394,22.0,5.436548223350254
GD Drummond,120,93,4.0,7.741935483870968
GD Elliott,87,66,6.0,7.909090909090908
GD McGrath,31,25,3.0,7.4399999999999995
GD Phillips,74,45,0.0,9.866666666666667
GDR Eranga,84,91,5.0,5.538461538461538
GEM Brealey,65,81,1.0,4.814814814814815
GES Sullivan,49,48,0.0,6.125
GF Linde,204,159,11.0,7.69811320754717
GG Alta,205,146,12.0,8.424657534246576
GH Dockrell,754,696,35.0,6.5
GH Lewis,14,14,0.0,6.0
GH O'Brien,135,116,5.0,6.982758620689655
GHS Garton,57,25,1.0,13.68
GI Gokoel,20,12,0.0,10.0
GI Hume,116,82,6.0,8.487804878048781
GI Maiden,14,12,1.0,7.0
GJ Delany,680,546,28.0,7.472527472527473
GJ Maxwell,950,709,33.0,8.039492242595204
GJ Snyman,12,6,0.0,12.0
GJ van Rensburg,25,25,2.0,6.0
GJP Kruger,34,26,0.0,7.846153846153847
GK Berg,203,152,6.0,8.013157894736842
GK Diviya,334,457,26.0,4.385120350109409
GK Ghalley,13,9,0.0,8.666666666666666
GM Harris,36,42,3.0,5.142857142857142
GM Muthui,303,261,12.0,6.9655172413793105
GM Ntambalika,11,13,1.0,5.076923076923077
GP Meade,61,56,2.0,6.535714285714285
GP Swann,508,478,29.0,6.376569037656903
GP Tom,115,116,5.0,5.948275862068966
GR Russ,52,20,0.0,15.600000000000001
GRD Munasinghe,100,75,4.0,8.0
GS Sequeira,19,26,2.0,4.384615384615384
GSNFG Jayasuriya,76,60,0.0,7.6
GT Main,132,100,8.0,7.92
GT Taylor,208,133,11.0,9.38345864661654
Gagandeep Singh,212,142,3.0,8.95774647887324
Garret Banner,208,181,9.0,6.895027624309392
Gaurav Mishra,84,76,4.0,6.631578947368421
