batter,total_runs,balls_faced,times_out,strike_rate,average,team
FE Carava,17,27,3.0,62.96296296296296,5.666666666666667,Mozambique
FFJ Heo,17,27,3.0,62.96296296296296,5.666666666666667,Indonesia
FFZ Nhaduate,2,6,2.0,33.33333333333333,1.0,Mozambique
FG Kemp,108,92,6.0,117.3913043478261,18.0,England
FH Allen,926,547,32.0,169.28702010968922,28.9375,New Zealand
FH Edwards,7,5,1.0,140.0,7.0,West Indies
FJ Klaassen,34,41,6.0,82.92682926829268,5.666666666666667,Netherlands
FJ Mpegna,19,37,5.0,51.35135135135135,3.8,Cameroon
FL Mackay,143,144,7.0,99.30555555555556,20.428571428571427,New Zealand
FL Patel,71,71,7.0,100.0,10.142857142857142,Panama
FLV Pula,23,39,1.0,58.97435897435898,23.0,Samoa
FN Walsh,3,5,1.0,60.0,3.0,Philippines
FO Kibasu,672,707,29.0,95.04950495049503,23.17241379310345,Tanzania
FR Davies,1,1,0.0,100.0,1.0,England
Fahad Tariq,3,5,1.0,60.0,3.0,United Arab Emirates
Faheem Ashraf,329,250,25.0,131.6,13.16,Pakistan
Faheem Nazir,381,264,7.0,144.3181818181818,54.42857142857143,Switzerland
Faheem Nellancheri,101,77,7.0,131.1688311688312,14.428571428571429,Finland
Fahima Khatun,161,145,12.0,111.03448275862068,13.416666666666666,Bangladesh
Faisal Khan,591,373,20.0,158.44504021447722,29.55,Saudi Arabia
Faisal Mehmood,33,26,2.0,126.92307692307692,16.5,Belgium
Faisal Mubashir,190,186,6.0,102.1505376344086,31.666666666666668,Germany
Faisal Raza,133,109,5.0,122.0183486238532,26.6,Norway
Faizal Salehji,2,2,1.0,100.0,2.0,Panama
Faizan Asif,52,49,5.0,106.12244897959184,10.4,United Arab Emirates
Faizan Mumtaz,6,15,4.0,40.0,1.5,Norway
Fakhar Zaman,1331,1041,56.0,127.85782901056676,23.767857142857142,Pakistan
Fakhrul Mohon,8,9,2.0,88.88888888888889,4.0,Portugal
Fanyan Mughal,63,87,9.0,72.41379310344827,7.0,Malta
Faraaz Mehti Abbas,31,40,3.0,77.5,10.333333333333334,Finland
Fareeha Mehmood,5,12,1.0,41.66666666666667,5.0,Pakistan
Fargana Hoque,424,445,18.0,95.28089887640448,23.55555555555556,Bangladesh
Farhad Reza,32,54,4.0,59.25925925925925,8.0,Bangladesh
Farial Zia Safdar,0,2,1.0,0.0,0.0,Norway
Fariha Trisna,1,8,2.0,12.5,0.5,Bangladesh
Farzan Afzal,41,44,1.0,93.18181818181816,41.0,Spain
Fatima Abbas,16,37,1.0,43.24324324324324,16.0,Saudi Arabia
Fatima Amir,1,7,1.0,14.285714285714285,1.0,Hong Kong
Fatima Sana,213,165,11.0,129.0909090909091,19.363636363636363,Pakistan
Fawad Alam,106,108,7.0,98.14814814814817,15.142857142857142,Pakistan
Fayaz Khan,78,43,5.0,181.3953488372093,15.6,Germany
Fayaz Mohammad,9,8,2.0,112.5,4.5,Bulgaria
Fayyaz Ahmed,11,12,1.0,91.66666666666666,11.0,United Arab Emirates
Fayyaz Butt,42,41,4.0,102.4390243902439,10.5,Oman
Fazil Muhammad,5,11,1.0,45.45454545454545,5.0,South Korea
Fazil Rahman,6,7,0.0,85.71428571428571,6.0,Malta
Festus Benn,142,187,9.0,75.93582887700535,15.77777777777778,Bahamas
Fiaz Ahmed,938,728,25.0,128.84615384615387,37.52,Bahrain
Firas Hussain,88,86,5.0,102.32558139534883,17.6,Bulgaria
Fitri Sham,68,75,10.0,90.66666666666666,6.8,Malaysia
Fiza,238,294,11.0,80.95238095238095,21.63636363636364,Oman
G Anujin,12,41,7.0,29.268292682926827,1.7142857142857142,Mongolia
G Axtell,0,2,0.0,0.0,0.0,Bahrain
G Ayan,55,68,6.0,80.88235294117648,9.166666666666666,Turkey
G Bakiweyem,23,42,5.0,54.761904761904766,4.6,Ghana
G Batagoda,2,5,2.0,40.0,1.0,Italy
G Bruno,9,6,1.0,150.0,9.0,Turks and Caicos Island
G Burrows,236,214,9.0,110.28037383177568,26.22222222222222,Isle of Man
G Caisley,14,22,2.0,63.63636363636363,7.0,Brazil
G Candiru,36,70,5.0,51.42857142857142,7.2,Uganda
G Cengiz,103,113,4.0,91.1504424778761,25.75,Turkey
G Chaturvedi,44,40,2.0,110.0,22.0,Malta
G Chilia,14,33,5.0,42.42424242424242,2.8,Vanuatu
G Chohan,47,44,6.0,106.8181818181818,7.833333333333333,Philippines
G Coetzee,36,30,5.0,120.0,7.2,South Africa
G Cupido,10,9,1.0,111.11111111111111,10.0,Switzerland
G Dempsey,19,27,3.0,70.37037037037037,6.333333333333333,Ireland
G Ephraim,0,10,2.0,0.0,0.0,Nigeria
G Fernando,2,11,0.0,18.181818181818183,2.0,Bahrain
G Ford,8,8,1.0,100.0,8.0,Isle of Man
G Gambhir,463,426,17.0,108.68544600938968,27.235294117647054,India
G Ganbold,9,29,4.0,31.03448275862069,2.25,Mongolia
G Gune,67,72,5.0,93.05555555555556,13.4,Singapore
G Ilarionova,24,56,6.0,42.85714285714285,4.0,Bulgaria
G Ingabire,27,38,4.0,71.05263157894737,6.75,Rwanda
G Ionita,0,1,1.0,0.0,0.0,Romania
G Ishimwe,656,689,23.0,95.21044992743106,28.52173913043478,Rwanda
G Jaine,0,2,1.0,0.0,0.0,France
G Kaltongga,10,12,2.0,83.33333333333334,5.0,Vanuatu
G Kamalini,12,12,1.0,100.0,12.0,India
G Kansonkho,267,296,17.0,90.2027027027027,15.705882352941176,Malawi
G Keles,84,108,5.0,77.77777777777779,16.8,Turkey
G Kodali,40,47,8.0,85.1063829787234,5.0,United States of America
G Kuthalingham,2,4,1.0,50.0,2.0,Turks and Caicos Island
G Madanayake,52,109,3.0,47.70642201834863,17.333333333333332,Estonia
G Malla,405,313,16.0,129.3929712460064,25.3125,Nepal
G Manan,74,59,7.0,125.42372881355932,10.571428571428571,Romania
G Matome,357,497,17.0,71.83098591549296,21.0,Botswana
G Mckeon,522,369,15.0,141.46341463414635,34.8,France
G Motie,99,67,4.0,147.76119402985074,24.75,West Indies
G Murali,34,35,1.0,97.14285714285714,34.0,Costa Rica
G Ngegba,159,150,9.0,106.0,17.666666666666668,Sierra Leone
G Obukor,117,154,7.0,75.97402597402598,16.714285714285715,Uganda
G Oliveira,15,20,2.0,75.0,7.5,Brazil
G Riley,3,19,2.0,15.789473684210526,1.5,Gambia
G Schachat,66,58,1.0,113.79310344827589,66.0,Israel
G Sesay,47,78,7.0,60.256410256410255,6.714285714285714,Sierra Leone
G Shukla,89,89,4.0,100.0,22.25,Sweden
G Singh,115,95,4.0,121.05263157894736,28.75,United States of America
G Singhdeo,6,5,1.0,120.0,6.0,Costa Rica
G Stewart,381,245,11.0,155.51020408163265,34.63636363636363,Italy
G Sultana,1,1,1.0,100.0,1.0,India
G Thakur,117,113,6.0,103.53982300884957,19.5,Malta
G Toka,29,22,0.0,131.8181818181818,29.0,Papua New Guinea
G Urjindulam,12,53,4.0,22.641509433962263,3.0,Mongolia
G Van Heerden,107,60,0.0,178.33333333333334,107.0,South Africa
G Venkateswaran,41,60,3.0,68.33333333333333,13.666666666666666,Luxembourg
G Voll,160,117,4.0,136.75213675213675,40.0,Australia
G Wareham,170,127,11.0,133.85826771653544,15.454545454545457,Australia
G Wetherall,134,117,4.0,114.52991452991452,33.5,Jersey
G Wijekoon,1,1,0.0,100.0,1.0,Sri Lanka
GA Elwiss,28,29,2.0,96.55172413793105,14.0,England
GA Lamb,32,55,2.0,58.18181818181818,16.0,Zimbabwe
GA Priandana,401,476,29.0,84.24369747899159,13.827586206896552,Indonesia
GB Hogg,4,4,1.0,100.0,4.0,Australia
GC Bhogle,103,146,6.0,70.54794520547945,17.166666666666668,United States of America
GC Galanis,26,26,3.0,100.0,8.666666666666666,Greece
GC Murtaza,68,81,8.0,83.9506172839506,8.5,Cambodia
GC Smith,513,398,14.0,128.89447236180905,36.642857142857146,South Africa
GC Wilson,556,508,22.0,109.4488188976378,25.272727272727277,Ireland
GD Arta,250,290,16.0,86.20689655172413,15.625,Indonesia
GD Drummond,2,5,2.0,40.0,1.0,Scotland
GD Elliott,131,116,6.0,112.93103448275863,21.83333333333333,New Zealand
GD Phillips,1310,916,41.0,143.01310043668124,31.951219512195124,New Zealand
GDR Eranga,1,1,0.0,100.0,1.0,Canada
GE Gutierrez Chavez,1,5,1.0,20.0,1.0,Mexico
GE Mathurin,4,5,0.0,80.0,4.0,West Indies
GE Plimmer,291,281,16.0,103.55871886120995,18.1875,New Zealand
GEF Barnett,66,49,2.0,134.6938775510204,33.0,Canada
GEM Brealey,10,23,1.0,43.47826086956522,10.0,Luxembourg
GES Sullivan,41,65,5.0,63.07692307692307,8.2,Cook Islands
GF Cardos,19,71,6.0,26.76056338028169,3.1666666666666665,Timor-Leste
GF Linde,201,154,13.0,130.5194805194805,15.461538461538462,South Africa
GG Alta,45,52,6.0,86.53846153846155,7.5,Turkey
GG Banner,38,48,4.0,79.16666666666666,9.5,Belize
GH Bodi,8,28,2.0,28.57142857142857,4.0,South Africa
GH Dockrell,433,350,24.0,123.71428571428572,18.041666666666668,Ireland
GH Lewis,1502,1222,46.0,122.91325695581014,32.65217391304348,Ireland
GH O'Brien,14,11,1.0,127.27272727272728,14.0,Bermuda
GH Smit,56,53,2.0,105.66037735849056,28.0,Guernsey
GH Worker,90,65,3.0,138.46153846153845,30.0,New Zealand
GI Gokoel,9,21,2.0,42.85714285714285,4.5,Suriname
GI Hume,17,12,1.0,141.66666666666669,17.0,Ireland
GJ Bailey,119,101,7.0,117.82178217821782,17.0,Australia
GJ Batty,4,7,1.0,57.14285714285714,4.0,England
GJ Delany,589,421,25.0,139.90498812351544,23.56,Ireland
GJ Hopkins,67,57,5.0,117.54385964912282,13.4,New Zealand
GJ Maxwell,1059,690,39.0,153.47826086956522,27.153846153846157,Australia
GJ Thompson,49,47,3.0,104.25531914893618,16.333333333333332,Ireland
GJ van Rensburg,21,40,2.0,52.5,10.5,Namibia
GK Berg,67,57,4.0,117.54385964912282,16.75,Italy
GK Diviya,351,606,27.0,57.92079207920792,13.0,Singapore
GK Ghalley,157,149,12.0,105.36912751677852,13.083333333333334,Bhutan
GL Adams,39,33,2.0,118.1818181818182,19.5,England
GL Cloete,15,15,2.0,100.0,7.5,South Africa
GL Mushi,52,60,2.0,86.66666666666667,26.0,Tanzania
GM Hamilton,7,11,1.0,63.63636363636363,7.0,Scotland
GM Harris,499,323,17.0,154.4891640866873,29.352941176470587,Australia
GM Muthui,2,4,1.0,50.0,2.0,Kenya
GM Ntambalika,89,77,4.0,115.5844155844156,22.25,Malawi
GM Strydom,48,58,4.0,82.75862068965517,12.0,Cayman Islands
GMK Jayaweera,4,13,2.0,30.76923076923077,2.0,Sweden
GO Jones,19,14,1.0,135.71428571428572,19.0,England
GP Meade,173,163,9.0,106.13496932515338,19.22222222222222,Italy
GP Swann,61,52,3.0,117.3076923076923,20.33333333333333,England
GP Tom,7,10,2.0,70.0,3.5,Papua New Guinea
GPK Wijesingha,77,67,2.0,114.92537313432835,38.5,Maldives
GR Adair,236,168,8.0,140.47619047619045,29.5,Ireland
GR Menes,1,8,2.0,12.5,0.5,Kuwait
GR Russ,63,70,6.0,90.0,10.5,Philippines
GRD Munasinghe,1,4,1.0,25.0,1.0,Italy
GS Bajwa,21,15,1.0,140.0,21.0,Spain
GS Sequeira,59,62,1.0,95.16129032258064,59.0,Portugal
GSNFG Jayasuriya,181,168,12.0,107.73809523809524,15.083333333333334,Sri Lanka
GT Main,0,2,0.0,0.0,0.0,Scotland
GT Taylor,25,74,6.0,33.78378378378378,4.166666666666667,Bahamas
GWHM Perera,556,674,36.0,82.49258160237389,15.444444444444445,Sri Lanka
GY Prastama,8,11,1.0,72.72727272727273,8.0,Indonesia
GY Tomar,33,26,1.0,126.92307692307692,33.0,Uganda
Gagandeep Singh,34,35,2.0,97.14285714285714,17.0,Bulgaria
Ganesh Pooja,31,73,7.0,42.465753424657535,4.428571428571429,France
Garret Banner,50,44,4.0,113.63636363636364,12.5,Belize
Gaurav Maithani,7,7,1.0,100.0,7.0,Malta
Gaurav Mishra,63,54,5.0,116.66666666666669,12.6,Romania
Gaurav Tiwari,77,97,7.0,79.38144329896907,11.0,Indonesia
Gayan Munaweera,38,29,1.0,131.0344827586207,38.0,Qatar
Geovanis Uwase,22,29,6.0,75.86206896551724,3.6666666666666665,Rwanda
Gershon Yusuf,0,1,1.0,0.0,0.0,Nigeria
Ghulam Abbas Butt,67,69,8.0,97.10144927536231,8.375,Finland
Ghulam Ahmadi,24,21,2.0,114.28571428571428,12.0,Germany
Ghulam Fatima,0,4,1.0,0.0,0.0,Pakistan
Ghulam Shabber,29,38,3.0,76.31578947368422,9.666666666666666,United Arab Emirates
Gong Yuting,16,17,2.0,94.11764705882352,8.0,China
Guido Angeletti,33,40,3.0,82.5,11.0,Argentina
Guillermo Aburto,4,10,1.0,40.0,4.0,Chile
Gull Feroza,78,105,7.0,74.28571428571429,11.142857142857142,Pakistan
Gulsan Jha,381,261,17.0,145.97701149425288,22.41176470588235,Nepal
Gurdeep Singh,48,63,3.0,76.19047619047619,16.0,Kenya
Gurpratap Singh,106,96,7.0,110.41666666666669,15.142857142857142,Cyprus
Gurpreet Singh,17,14,0.0,121.42857142857142,17.0,Italy
H Agarwal,42,103,6.0,40.77669902912621,7.0,Qatar
H Ayoka,4,8,1.0,50.0,4.0,Nigeria
H Beresford-Peirse,7,10,1.0,70.0,7.0,Croatia
H Bharadwaj,1,5,1.0,20.0,1.0,Singapore
H Bhullar,31,119,7.0,26.05042016806723,4.428571428571429,Austria
H Carlyon,430,355,19.0,121.12676056338027,22.63157894736842,Jersey
H Celik,7,16,2.0,43.75,3.5,Turkey
H Chamto,10,14,2.0,71.42857142857143,5.0,Sweden
H Currie,0,1,1.0,0.0,0.0,Gibraltar
H Dandapani,17,20,1.0,85.0,17.0,Finland
H Dassanayake,1,7,1.0,14.285714285714285,1.0,Finland
H Davids,134,118,7.0,113.55932203389833,19.142857142857142,South Africa
H Deol,242,265,13.0,91.32075471698111,18.615384615384617,India
H Deshan,158,128,6.0,123.4375,26.33333333333333,Switzerland
H Dhaliwal,0,3,1.0,0.0,0.0,Austria
H Dhavina,8,45,4.0,17.77777777777778,2.0,Singapore
H Doriga,201,170,10.0,118.23529411764706,20.1,Papua New Guinea
H Elder,2,2,0.0,100.0,2.0,Switzerland
H Fennell,29,25,5.0,116.0,5.8,Argentina
H Goto,123,198,15.0,62.121212121212125,8.2,Japan
H Hajnic,3,47,1.0,6.382978723404255,3.0,Croatia
H Hiri,165,149,7.0,110.73825503355704,23.571428571428573,Papua New Guinea
H Hotchandani,215,298,19.0,72.14765100671141,11.31578947368421,United Arab Emirates
H Ishimwe,424,451,23.0,94.01330376940132,18.43478260869565,Rwanda
H Isorena,6,14,1.0,42.85714285714285,6.0,Philippines
H Ivanov,14,20,3.0,70.0,4.666666666666667,Bulgaria
H Iwasaki,147,173,15.0,84.97109826589595,9.8,Japan
H Jangariya,129,89,3.0,144.9438202247191,43.0,Eswatini
H Karunaratne,79,130,6.0,60.76923076923077,13.166666666666666,Sri Lanka
H Kaur,1760,1500,63.0,117.33333333333331,27.936507936507937,India
H Kaushik,84,40,2.0,210.0,42.0,United Arab Emirates
H Kavasoglu,0,2,1.0,0.0,0.0,Turkey
H Kerge,11,49,5.0,22.448979591836736,2.2,Estonia
H Khogiyani,32,28,3.0,114.28571428571428,10.666666666666666,Austria
H Kinga,0,5,2.0,0.0,0.0,Cameroon
H Klaasen,416,335,20.0,124.17910447761192,20.8,South Africa
H Klazinge,3,7,1.0,42.85714285714285,3.0,Namibia
H Lakov,349,383,15.0,91.12271540469972,23.266666666666666,Bulgaria
H Leko,51,99,4.0,51.51515151515152,12.75,Croatia
H Lin Aung,131,226,19.0,57.9646017699115,6.894736842105263,Myanmar
H Lin Oo,104,113,10.0,92.03539823008848,10.4,Myanmar
H Little,2,4,1.0,50.0,2.0,Ireland
H Lui,1,7,1.0,14.285714285714285,1.0,Hong Kong
H Madavi,821,944,37.0,86.97033898305084,22.18918918918919,Sri Lanka
H Masakadza,789,666,24.0,118.46846846846846,32.875,Zimbabwe
H McAleer,34,40,2.0,85.0,17.0,Isle of Man
H Mumford,3,18,2.0,16.666666666666664,1.5,Gibraltar
H Nguyen,32,42,2.0,76.19047619047619,16.0,Finland
H Niaz,146,112,8.0,130.35714285714286,18.25,France
H Okcu,15,41,1.0,36.58536585365854,15.0,Turkey
H Osinde,5,4,0.0,125.0,5.0,Canada
H Patel,107,116,6.0,92.24137931034484,17.833333333333332,Canada
H Pieterse,62,36,1.0,172.22222222222223,62.0,South Africa
H Pragji,2,5,1.0,40.0,2.0,Botswana
H Rashid,81,87,4.0,93.10344827586206,20.25,Eswatini
H Rathod,87,80,5.0,108.75,17.4,Qatar
H Roy,0,1,1.0,0.0,0.0,Nepal
H Satheedevi,82,54,3.0,151.85185185185185,27.33333333333333,Croatia
H Sawaneh,5,5,1.0,100.0,5.0,Sierra Leone
H Sawanneh,18,31,1.0,58.06451612903226,18.0,Sierra Leone
H Simpson-Parker,42,51,2.0,82.35294117647058,21.0,Austria
H Sin Yee,1,7,1.0,14.285714285714285,1.0,Hong Kong
H Singh,244,195,12.0,125.12820512820512,20.33333333333333,Germany
H Srinivasan,33,46,1.0,71.73913043478261,33.0,Germany
H Ssenyondo,22,39,3.0,56.41025641025641,7.333333333333333,Uganda
H Thaker,462,376,22.0,122.87234042553192,21.0,Canada
H Venkataram,69,60,1.0,115.0,69.0,Singapore
H Wenehoua,0,3,1.0,0.0,0.0,France
HA Chohan,89,60,8.0,148.33333333333334,11.125,Tanzania
HA Jackson,228,289,15.0,78.89273356401384,15.2,France
HA Varaiya,14,30,1.0,46.66666666666666,14.0,Kenya
HAM Samuddika,4,14,3.0,28.57142857142857,1.3333333333333333,Sri Lanka
HAM Shah,730,618,21.0,118.12297734627832,34.76190476190476,Denmark
HASD Siriwardene,459,567,29.0,80.95238095238095,15.827586206896552,Sri Lanka
HB Dickson,55,46,3.0,119.56521739130434,18.33333333333333,Cook Islands
HB Kayondo,58,62,2.0,93.5483870967742,29.0,Uganda
HC Brook,548,328,16.0,167.0731707317073,34.25,England
HC Knight,1493,1199,52.0,124.52043369474562,28.71153846153846,England
HD Rutherford,133,95,5.0,140.0,26.6,New Zealand
HDJ Siegers,677,583,29.0,116.12349914236704,23.344827586206897,Netherlands
HDRL Thirimanne,180,150,8.0,120.0,22.5,Sri Lanka
HE van der Dussen,818,620,25.0,131.93548387096774,32.72,South Africa
HER Tyler,180,146,11.0,123.28767123287672,16.363636363636363,Philippines
HG Kuhn,46,33,3.0,139.3939393939394,15.333333333333334,South Africa
HG Munsey,1473,1016,41.0,144.98031496062993,35.926829268292686,Scotland
HGV Vare,34,43,3.0,79.06976744186046,11.333333333333334,Papua New Guinea
HH Aung,33,73,4.0,45.20547945205479,8.25,Myanmar
HH Gibbs,225,173,12.0,130.0578034682081,18.75,South Africa
HH Pandya,1417,1015,50.0,139.60591133004928,28.34,India
HIS Mendis,54,64,4.0,84.375,13.5,Sri Lanka
HJ Armitage,4,8,2.0,50.0,2.0,England
HJ Jordaan,127,165,6.0,76.96969696969697,21.166666666666668,Thailand
HJ Manenti,175,153,7.0,114.37908496732024,25.0,Italy
HJ Patel,21,21,1.0,100.0,21.0,Panama
HJ Thomas,184,256,12.0,71.875,15.333333333333334,Papua New Guinea
HK Kukreja,56,73,4.0,76.71232876712328,14.0,Singapore
HK Matthews,1174,1064,42.0,110.33834586466163,27.952380952380956,West Indies
HL Colvin,0,1,1.0,0.0,0.0,England
HL Harji,0,3,1.0,0.0,0.0,Seychelles
HL Tau,32,39,2.0,82.05128205128204,16.0,Papua New Guinea
HM Amla,721,522,19.0,138.1226053639847,37.94736842105263,South Africa
HM Nicholls,86,98,5.0,87.75510204081633,17.2,New Zealand
HM Omary,365,453,24.0,80.5739514348786,15.208333333333334,Tanzania
HM Rowe,43,54,6.0,79.62962962962963,7.166666666666667,New Zealand
HMCM Bandara,1,2,1.0,50.0,1.0,Sri Lanka
HMD Rasangika,761,616,18.0,123.53896103896103,42.27777777777778,Bahrain
HMHE Parsons,75,53,4.0,141.50943396226415,18.75,South Korea
HML Madushani,110,133,4.0,82.70676691729322,27.5,Sri Lanka
HMRKB Herath,7,10,2.0,70.0,3.5,Sri Lanka
HN Ya France,11,11,4.0,100.0,2.75,Namibia
HNK Jensen,70,97,7.0,72.16494845360825,10.0,New Zealand
HO Karaduman,4,15,1.0,26.666666666666668,4.0,Turkey
HR Huddleston,10,13,1.0,76.92307692307693,10.0,New Zealand
HR Ponja,0,5,0.0,0.0,0.0,Mozambique
HR Walsh,64,61,4.0,104.91803278688523,16.0,United States of America
HRA Rainey,8,25,3.0,32.0,2.6666666666666665,Scotland
HS Baidwan,31,27,2.0,114.8148148148148,15.5,Canada
HS Gericke,151,96,8.0,157.29166666666669,18.875,Malta
HT Tector,803,680,30.0,118.08823529411764,26.766666666666666,Ireland
HV Mandhyan,61,76,6.0,80.26315789473685,10.166666666666666,Hungary
HV Patel,55,42,4.0,130.95238095238096,13.75,India
HWA Landheer,36,54,5.0,66.66666666666666,7.2,Netherlands
Habeeba Bader,41,79,3.0,51.89873417721519,13.666666666666666,Canada
Habib Ahmadzai,78,73,3.0,106.84931506849315,26.0,Austria
Habib Khan,153,150,7.0,102.0,21.857142857142858,Estonia
Hadia Siddiqui,3,7,1.0,42.85714285714285,3.0,Austria
Hadisullah Tarakhel,98,61,3.0,160.65573770491804,32.666666666666664,Belgium
Hafsaa Abdhulla,4,18,2.0,22.22222222222222,2.0,Maldives
Haider Ali,266,227,17.0,117.18061674008813,15.647058823529411,Pakistan
Haider Butt,794,672,27.0,118.15476190476193,29.40740740740741,Bahrain
Hala Azmat,1,5,0.0,20.0,1.0,Canada
Haliam Kwon,3,18,1.0,16.666666666666664,3.0,South Korea
Hamid Mahmood,95,91,4.0,104.3956043956044,23.75,Sweden
Hamid Safi,62,36,3.0,172.22222222222223,20.666666666666668,Austria
Hammad Azam,1,2,1.0,50.0,1.0,Pakistan
Hammad Mirza,72,80,8.0,90.0,9.0,Oman
Hamza Dar,394,234,8.0,168.3760683760684,49.25,Spain
Hamza Khan,262,256,7.0,102.34375,37.42857142857143,Rwanda
Hamza Niyaz,9,14,1.0,64.28571428571429,9.0,Maldives
Hamza Tahir,0,1,1.0,0.0,0.0,Scotland
Hamza Tariq,148,95,6.0,155.78947368421052,24.666666666666668,Canada
Han Lili,65,103,3.0,63.10679611650486,21.666666666666668,China
Han Won,0,5,1.0,0.0,0.0,South Korea
Harbhajan Singh,60,46,4.0,130.43478260869566,15.0,India
Haris Rauf,70,60,6.0,116.66666666666669,11.666666666666666,Pakistan
Haris Sohail,128,122,7.0,104.91803278688523,18.285714285714285,Pakistan
Harmeet Singh,105,74,6.0,141.89189189189187,17.5,United States of America
Haroon Arshad,108,91,10.0,118.68131868131869,10.8,Hong Kong
Haroon Mughal,1,4,1.0,25.0,1.0,Malta
Haroon Shahid,7,3,1.0,233.33333333333331,7.0,Kuwait
Harprit Singh,1,1,0.0,100.0,1.0,Mexico
Harry Johnson,2,3,1.0,66.66666666666666,2.0,Guernsey
Harshit Rana,48,43,2.0,111.6279069767442,24.0,India
Hasan Ali,101,70,10.0,144.28571428571428,10.1,Pakistan
Hasan Mahmud,29,24,0.0,120.83333333333331,29.0,Bangladesh
Hasan Yanar,16,33,2.0,48.48484848484848,8.0,Turkey
Haseeb Amjad,6,9,2.0,66.66666666666666,3.0,Hong Kong
Haseeb Ghafoor,83,77,1.0,107.7922077922078,83.0,Saudi Arabia
Haseebullah Khan,24,22,2.0,109.09090909090908,12.0,Pakistan
Hassan Khan,51,36,2.0,141.66666666666669,25.5,Germany
Hassan Mehmood,20,31,3.0,64.51612903225806,6.666666666666667,Sweden
Hassan Nawaz,299,215,15.0,139.06976744186045,19.933333333333334,Pakistan
Hassan Rasheed,97,115,9.0,84.34782608695653,10.77777777777778,Maldives
Hassnain Shah,0,1,1.0,0.0,0.0,Oman
Hayatullah Niazi,10,11,1.0,90.9090909090909,10.0,Norway
Heal Theara,7,29,1.0,24.13793103448276,7.0,Cambodia
Hee Jung Lee,0,3,1.0,0.0,0.0,South Korea
Hifsa Butt,0,8,1.0,0.0,0.0,Spain
Hilal Ahmad,1,4,1.0,25.0,1.0,Czech Republic
Hilva Noor,52,94,2.0,55.319148936170215,26.0,Indonesia
Hina Hussain,0,3,1.0,0.0,0.0,Norway
Hisham Sheikh,150,165,11.0,90.9090909090909,13.636363636363637,Saudi Arabia
Hiu Ying Cheung,51,65,9.0,78.46153846153847,5.666666666666667,Hong Kong
Hon Sovannary,2,17,1.0,11.76470588235294,2.0,Cambodia
Hor Siv na,1,18,3.0,5.555555555555555,0.3333333333333333,Cambodia
Huang Junjie,0,9,1.0,0.0,0.0,China
Huang Zhuo,33,55,4.0,60.0,8.25,China
Humaira Tasneem,27,61,7.0,44.26229508196721,3.857142857142857,United Arab Emirates
Hussain Talat,234,217,15.0,107.83410138248848,15.6,Pakistan
Huzaifa Mohammed,51,75,4.0,68.0,12.75,Philippines
Hyejin Park,1,8,1.0,12.5,1.0,South Korea
I Alumo,21,19,2.0,110.5263157894737,10.5,Uganda
I Asif,100,88,3.0,113.63636363636364,33.333333333333336,Austria
I Barma,397,536,29.0,74.06716417910447,13.689655172413794,Nepal
I Bist,17,14,1.0,121.42857142857142,17.0,Nepal
I Chathurani,181,200,1.0,90.5,181.0,Cyprus
I Chuma,171,274,12.0,62.40875912408759,14.25,Mozambique
I Danladi,998,852,38.0,117.13615023474178,26.26315789473684,Nigeria
I Dulani,33,37,2.0,89.1891891891892,16.5,Sri Lanka
I Edwards,8,21,0.0,38.095238095238095,8.0,Germany
I Elec,62,86,4.0,72.09302325581395,15.5,Turkey
I Goordial-John,71,113,3.0,62.83185840707964,23.666666666666668,Canada
I Kaia,101,90,9.0,112.22222222222224,11.22222222222222,Zimbabwe
I Kamara,6,24,4.0,25.0,1.5,Sierra Leone
I Katzarski,10,23,1.0,43.47826086956522,10.0,Bulgaria
I Kaur,0,1,0.0,0.0,0.0,Portugal
I Koroma,13,17,2.0,76.47058823529412,6.5,Sierra Leone
I Liyanage,461,408,13.0,112.99019607843135,35.46153846153846,Qatar
I Majdancic,35,44,2.0,79.54545454545455,17.5,Croatia
I Master,43,44,3.0,97.72727272727272,14.333333333333334,Botswana
I Mugisha,27,34,3.0,79.41176470588235,9.0,Rwanda
I Muhawenimana,12,16,3.0,75.0,4.0,Rwanda
I Muntean,1,5,2.0,20.0,0.5,Romania
I Nakisuuyi,552,777,34.0,71.04247104247105,16.235294117647058,Uganda
I Nandakumar,31,46,5.0,67.3913043478261,6.2,United Arab Emirates
I Niyomugabo,244,232,9.0,105.17241379310344,27.11111111111111,Rwanda
I Ntirenganya,10,23,4.0,43.47826086956522,2.5,Rwanda
I Palliya,0,1,1.0,0.0,0.0,Romania
I Pandey,6,14,2.0,42.85714285714285,3.0,Nepal
I Ranaweera,49,88,7.0,55.68181818181818,7.0,Sri Lanka
I Seneviratne,12,17,1.0,70.58823529411765,12.0,United Arab Emirates
I Sharma,3,7,1.0,42.85714285714285,3.0,India
I Shukla,15,67,7.0,22.388059701492537,2.142857142857143,Singapore
I Smotara,0,9,2.0,0.0,0.0,Croatia
I Stoilva,0,18,1.0,0.0,0.0,Bulgaria
I Suhun,76,125,9.0,60.8,8.444444444444445,Bahrain
I Takahashi,415,331,24.0,125.37764350453172,17.291666666666668,Japan
I Tchakou,59,95,9.0,62.10526315789474,6.555555555555555,Cameroon
I Toua,60,73,7.0,82.1917808219178,8.571428571428571,Papua New Guinea
I Uboh,0,2,1.0,0.0,0.0,Nigeria
