batter,total_runs,balls_faced,times_out,strike_rate,average,team
BCJ Cutting,35,23,2.0,152.17391304347828,17.5,Australia
BD Glover,2,12,3.0,16.666666666666664,0.6666666666666666,Netherlands
BD Pare,3,6,1.0,50.0,3.0,Indonesia
BDH Stevens,154,161,8.0,95.65217391304348,19.25,Jersey
BE Hendricks,15,18,2.0,83.33333333333334,7.5,South Africa
BF Calitz,29,27,2.0,107.40740740740742,14.5,Ireland
BF Mailata,70,76,3.0,92.10526315789474,23.33333333333333,Samoa
BF Smith,102,74,3.0,137.83783783783784,34.0,England
BFW de Leede,245,304,15.0,80.5921052631579,16.333333333333332,Netherlands
BG Armstrong,11,10,1.0,110.0,11.0,New Zealand
BG Illing,1,3,0.0,33.33333333333333,1.0,New Zealand
BG Lister,1,2,1.0,50.0,1.0,New Zealand
BI Dilruksha,143,133,6.0,107.5187969924812,23.83333333333333,South Korea
BJ Bennett,1056,708,26.0,149.15254237288136,40.61538461538461,Zimbabwe
BJ Currie,9,17,0.0,52.94117647058824,9.0,Scotland
BJ Davidson,3,18,2.0,16.666666666666664,1.5,Serbia
BJ Dwarshuis,17,21,1.0,80.95238095238095,17.0,Australia
BJ Haddin,214,190,14.0,112.6315789473684,15.285714285714286,Australia
BJ Hodge,115,90,5.0,127.77777777777776,23.0,Australia
BJ Jacobs,64,60,1.0,106.66666666666669,64.0,New Zealand
BJ McCarthy,108,87,10.0,124.13793103448276,10.8,Ireland
BJ McMullen,439,323,16.0,135.91331269349843,27.4375,Scotland
BJ Watling,8,12,1.0,66.66666666666666,8.0,New Zealand
BK Stroud,9,19,1.0,47.368421052631575,9.0,St Helena
BKB Corbin,81,66,4.0,122.72727272727272,20.25,Cayman Islands
BKG Mendis,1194,937,44.0,127.42796157950906,27.13636363636364,Sri Lanka
BL Mooney,1963,1530,45.0,128.30065359477126,43.62222222222222,Australia
BLCS Kumara,3,5,1.0,60.0,3.0,Cyprus
BM Duckett,348,231,10.0,150.64935064935065,34.8,England
BM Halliday,258,276,16.0,93.47826086956522,16.125,New Zealand
BM Pecic,44,61,2.0,72.1311475409836,22.0,Serbia
BM Scholtz,38,40,3.0,95.0,12.666666666666666,Namibia
BM Tickner,5,12,1.0,41.66666666666667,5.0,New Zealand
BM Wheeler,1,2,0.0,50.0,1.0,New Zealand
BMA Mbida,136,211,15.0,64.45497630331754,9.066666666666666,Cameroon
BMAJ Mendis,178,151,7.0,117.88079470198676,25.428571428571427,Sri Lanka
BMSM Kumari,47,88,9.0,53.40909090909091,5.222222222222222,Sri Lanka
BN Cooper,589,497,24.0,118.51106639839035,24.541666666666668,Netherlands
BN Toube,142,162,9.0,87.65432098765432,15.77777777777778,Cameroon
BOP Fernando,94,64,3.0,146.875,31.33333333333333,Sri Lanka
