venue,avg_score,nature
Dubai International Cricket Stadium,141.4181818181818,Balanced
Eden Gardens,142.28571428571428,Balanced
"Eden Gardens, Kolkata",168.6,Sporting (Batting Friendly)
Eden Park,159.6153846153846,Sporting (Batting Friendly)
"Eden Park, Auckland",161.9,Sporting (Batting Friendly)
Edgbaston,162.33333333333334,Sporting (Batting Friendly)
"Edgbaston, Birmingham",141.0909090909091,Balanced
"Ekeberg Cricket Ground 1, Oslo",132.66666666666666,Balanced
"Ekeberg Cricket Ground 2, Oslo",64.0,Rough (Bowler Friendly)
Entebbe Cricket Oval,110.19148936170212,Rough (Bowler Friendly)
Estonian National Cricket and Rugby Field,125.9,Balanced
Europa Sports Complex,134.77272727272728,Balanced
"FB Fields, St Clement",121.6,Balanced
"Faleata Oval No 2, Apia",147.91666666666666,Balanced
Feroz Shah Kotla,123.22222222222223,Balanced
Forthill,94.5,Rough (Bowler Friendly)
"GB Oval, Szodliget",167.76923076923077,Sporting (Batting Friendly)
"GMHBA Stadium, South Geelong, Victoria",142.83333333333334,Balanced
Gaddafi Stadium,163.66666666666666,Sporting (Batting Friendly)
"Gaddafi Stadium, Lahore",167.35294117647058,Sporting (Batting Friendly)
"Gahanga B Ground, Rwanda",95.84375,Rough (Bowler Friendly)
"Gahanga International Cricket Stadium, Rwanda",133.26136363636363,Balanced
Gahanga International Cricket Stadium. Rwanda,113.2987012987013,Rough (Bowler Friendly)
Galle International Stadium,108.08333333333333,Rough (Bowler Friendly)
Gelephu International Cricket Ground,130.95454545454547,Balanced
"Goldenacre, Edinburgh",153.0,Sporting (Batting Friendly)
"Grainville, St Saviour",129.2,Balanced
"Grainville, St Saviour, Jersey",109.375,Rough (Bowler Friendly)
"Grand Prairie Stadium, Dallas",144.3,Balanced
"Grange Cricket Club Ground, Raeburn Place",139.66666666666666,Balanced
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",167.33333333333334,Sporting (Batting Friendly)
"Grange Cricket Club, Raeburn Place",185.0,Sporting (Batting Friendly)
"Great Barrier Reef Arena, Mackay",142.5,Balanced
Green Park,147.0,Balanced
Greenfield International Stadium,118.5,Rough (Bowler Friendly)
"Greenfield International Stadium, Thiruvananthapuram",169.8,Sporting (Batting Friendly)
"Ground 1, Independence Park",76.5,Rough (Bowler Friendly)
"Ground 2, Independence Park",84.0,Rough (Bowler Friendly)
Guanggong International Cricket Stadium,79.5,Rough (Bowler Friendly)
Gucherre Cricket Ground,187.66666666666666,Sporting (Batting Friendly)
"Guernsey Rovers Athletic Club Ground, Port Soif",128.0,Balanced
Guttsta Wicked Cricket Club,52.0,Rough (Bowler Friendly)
Gymkhana Club Ground,140.33333333333334,Balanced
"Gymkhana Club Ground, Dar-es-Salaam",86.0,Rough (Bowler Friendly)
"Gymkhana Club Ground, Nairobi",128.06060606060606,Balanced
Hagley Oval,168.5,Sporting (Batting Friendly)
"Hagley Oval, Christchurch",151.66666666666666,Sporting (Batting Friendly)
Happy Valley Ground,138.52941176470588,Balanced
Happy Valley Ground 2,144.57142857142858,Balanced
Harare Sports Club,155.72,Sporting (Batting Friendly)
Haslegrave Ground,127.5,Balanced
Hazelaarweg,160.4,Sporting (Batting Friendly)
"Hazelaarweg, Rotterdam",147.25,Balanced
"Headingley, Leeds",188.0,Sporting (Batting Friendly)
"High Performance Oval, Windhoek",126.5625,Balanced
Himachal Pradesh Cricket Association Stadium,131.0,Balanced
"Himachal Pradesh Cricket Association Stadium, Dharamsala",148.66666666666666,Balanced
Holkar Cricket Stadium,201.0,Sporting (Batting Friendly)
"Holkar Cricket Stadium, Indore",227.0,Sporting (Batting Friendly)
Hong Kong Cricket Club,100.75,Rough (Bowler Friendly)
"Hurlingham Club Ground, Buenos Aires",122.33333333333333,Balanced
ICC Academy,144.05,Balanced
ICC Academy Ground No 2,155.8,Sporting (Batting Friendly)
"ICC Academy Ground No 2, Dubai",102.8,Rough (Bowler Friendly)
"ICC Academy, Dubai",134.59375,Balanced
ICC Global Cricket Academy,132.5,Balanced
"Independence Park, Port Vila",143.1,Balanced
Indian Association Ground,145.05882352941177,Balanced
"Indian Association Ground, Singapore",132.6,Balanced
Integrated Polytechnic Regional Centre,126.475,Balanced
"Ishoj Cricket Club, Vejledalen",140.0,Balanced
JSCA International Stadium Complex,157.0,Sporting (Batting Friendly)
"JSCA International Stadium Complex, Ranchi",164.5,Sporting (Batting Friendly)
Jade Stadium,193.0,Sporting (Batting Friendly)
"Jimmy Powell Oval, Cayman Islands",133.46153846153845,Balanced
Jinja Cricket Ground,93.0,Rough (Bowler Friendly)
"John Davies Oval, Queenstown",156.5,Sporting (Batting Friendly)
Johor Cricket Academy Oval,103.0,Rough (Bowler Friendly)
Junction Oval,129.55555555555554,Balanced
Kaizuka Cricket Ground,106.0,Rough (Bowler Friendly)
Kennington Oval,151.64705882352942,Sporting (Batting Friendly)
"Kennington Oval, London",154.25,Sporting (Batting Friendly)
"Kensington Oval, Barbados",94.66666666666667,Rough (Bowler Friendly)
"Kensington Oval, Bridgetown",151.94117647058823,Sporting (Batting Friendly)
"Kensington Oval, Bridgetown, Barbados",146.47619047619048,Balanced
Kerava National Cricket Ground,131.63888888888889,Balanced
Kerrydale Oval,116.0,Rough (Bowler Friendly)
Khan Shaheb Osman Ali Stadium,163.0,Sporting (Batting Friendly)
King George V Sports Ground,125.44444444444444,Balanced
"King George V Sports Ground, Castel",153.375,Sporting (Batting Friendly)
Kingsmead,146.83333333333334,Balanced
"Kingsmead, Durban",193.0,Sporting (Batting Friendly)
Kinrara Academy Oval,137.65625,Balanced
"Kinrara Academy Oval, Kuala Lumpur",105.125,Rough (Bowler Friendly)
Koge Cricket Club,129.4,Balanced
Koge Cricket Club 2,147.5,Balanced
Kyambogo Cricket Oval,115.5,Rough (Bowler Friendly)
LC de Villiers Oval,119.0,Rough (Bowler Friendly)
La Manga Club Bottom Ground,91.4,Rough (Bowler Friendly)
La Manga Club Top Ground,126.3125,Balanced
Lalabhai Contractor Stadium,135.75,Balanced
Las Caballerizas,110.0,Rough (Bowler Friendly)
Lisicji Jarak Cricket Ground,145.4,Balanced
Lochlands,98.42857142857143,Rough (Bowler Friendly)
Lord's,157.6,Sporting (Batting Friendly)
"Lord's, London",155.0,Sporting (Batting Friendly)
Los Reyes Polo Club,105.75,Rough (Bowler Friendly)
Lugogo Cricket Oval,135.33333333333334,Balanced
"Lugogo Cricket Oval, Kampala",92.6,Rough (Bowler Friendly)
M Chinnaswamy Stadium,143.11111111111111,Balanced
"M Chinnaswamy Stadium, Bangalore",28.0,Rough (Bowler Friendly)
"M Chinnaswamy Stadium, Bengaluru",160.0,Sporting (Batting Friendly)
M.Chinnaswamy Stadium,162.0,Sporting (Batting Friendly)
"MA Chidambaram Stadium, Chepauk",150.5,Sporting (Batting Friendly)
"MA Chidambaram Stadium, Chepauk, Chennai",153.75,Sporting (Batting Friendly)
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",213.0,Sporting (Batting Friendly)
Maharashtra Cricket Association Stadium,151.0,Sporting (Batting Friendly)
"Maharashtra Cricket Association Stadium, Pune",193.5,Sporting (Batting Friendly)
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",130.71428571428572,Balanced
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",121.33333333333333,Balanced
"Malahide, Dublin",162.0,Sporting (Batting Friendly)
"Malek Cricket Ground, Ajman",108.0,Rough (Bowler Friendly)
Malkerns Country Club oval,151.2,Sporting (Batting Friendly)
Mangaung Oval,142.66666666666666,Balanced
Manuka Oval,153.23076923076923,Sporting (Batting Friendly)
"Manuka Oval, Canberra",140.28571428571428,Balanced
"Maple Leaf North-East Ground, King City",197.5,Sporting (Batting Friendly)
Maple Leaf North-West Ground,134.5,Balanced
"Maple Leaf North-West Ground, King City",126.70588235294117,Balanced
"Marina Ground, Corfu",110.33333333333333,Rough (Bowler Friendly)
"Marrara Stadium, Darwin",198.0,Sporting (Batting Friendly)
Marsa Sports Club,155.06349206349208,Sporting (Batting Friendly)
McLean Park,171.4,Sporting (Batting Friendly)
"McLean Park, Napier",147.0,Balanced
"Meersen, Gent",124.0,Balanced
