batter,total_runs,balls_faced,times_out,strike_rate,average
CN Messina,4,22,1.0,18.181818181818183,4.0
CN Nation,309,360,17.0,85.83333333333333,18.176470588235293
CN Onwuzulike,155,151,10.0,102.64900662251655,15.5
CNIM Joyce,150,188,9.0,79.7872340425532,16.666666666666668
CO Obuya,663,637,21.0,104.08163265306123,31.571428571428573
CP Rizwan,193,180,7.0,107.22222222222221,27.571428571428573
CP Schofield,10,11,2.0,90.9090909090909,5.0
CP Turkich,101,178,7.0,56.74157303370787,14.428571428571429
CPPM Sadun,153,180,9.0,85.0,17.0
CR Brathwaite,137,142,10.0,96.47887323943662,13.7
CR Ervine,770,784,36.0,98.21428571428571,21.38888888888889
CR Foggo,6,11,1.0,54.54545454545454,6.0
CR Pagydyala,92,116,2.0,79.3103448275862,46.0
CR Richards,10,16,2.0,62.5,5.0
CR Seneviratna,299,354,16.0,84.4632768361582,18.6875
CR Suryawanshi,4,8,2.0,50.0,2.0
CR Woakes,78,64,5.0,121.875,15.6
CRD Fernando,25,28,5.0,89.28571428571429,5.0
CS Baugh,8,10,1.0,80.0,8.0
CS Fraser,19,46,2.0,41.30434782608695,9.5
CS MacLeod,530,438,21.0,121.00456621004567,25.238095238095237
CS Mugeri-Tiripano,771,705,25.0,109.36170212765957,30.84
CS Nascimento,71,96,6.0,73.95833333333334,11.833333333333334
CSN Mbelel,19,41,4.0,46.34146341463415,4.75
CT Dhururu,178,239,14.0,74.47698744769873,12.714285714285714
CT McNally,72,143,5.0,50.349650349650354,14.4
CT Mumba,14,25,2.0,56.00000000000001,7.0
CT Mutombodzi,67,76,6.0,88.1578947368421,11.166666666666666
CU Jayasinghe,40,29,1.0,137.93103448275863,40.0
CV Anto,344,224,11.0,153.57142857142858,31.272727272727273
CV Harrison,2,4,0.0,50.0,2.0
CV Varun,1,6,2.0,16.666666666666664,0.5
CW Perchard,79,74,7.0,106.75675675675676,11.285714285714286
Cai Yuzhi,13,42,3.0,30.952380952380953,4.333333333333333
Chado Om,12,24,3.0,50.0,4.0
Chan Ka Man,32,52,6.0,61.53846153846154,5.333333333333333
Charanjeet Singh,8,9,0.0,88.88888888888889,8.0
Chare Smith,0,1,0.0,0.0,0.0
Chaudhary Akram,98,97,2.0,101.03092783505154,49.0
Chaya Mughal,246,322,16.0,76.3975155279503,15.375
Chayanisa Phengpaen,4,1,0.0,400.0,4.0
Chen Yue,18,35,2.0,51.42857142857142,9.0
Chen Zhuo Yue,4,9,2.0,44.44444444444444,2.0
Chinyenum George,3,5,1.0,60.0,3.0
Chirag Suri,566,473,18.0,119.66173361522199,31.444444444444443
Choudhry Md Imran,2,3,2.0,66.66666666666666,1.0
Choudry Share Ali,10,5,1.0,200.0,10.0
Christina Baret,31,60,4.0,51.66666666666667,7.75
Cihan Altun,4,2,1.0,200.0,4.0
D Abeyrathna,327,369,18.0,88.6178861788618,18.166666666666668
D Ahir,14,11,1.0,127.27272727272727,14.0
D Ajekun,231,322,20.0,71.73913043478261,11.55
D Berthe,0,2,1.0,0.0,0.0
D Bhaskara,1,15,2.0,6.666666666666667,0.5
D Bhatta,66,64,8.0,103.125,8.25
D Birrell,14,17,2.0,82.35294117647058,7.0
D Bishoo,3,5,1.0,60.0,3.0
D Brevis,285,174,9.0,163.79310344827587,31.666666666666668
D Brown,8,5,0.0,160.0,8.0
D Busingye,112,141,1.0,79.43262411347519,112.0
D Cato,24,46,2.0,52.17391304347826,12.0
D Chamto,0,1,1.0,0.0,0.0
D Cleaver,117,98,5.0,119.38775510204083,23.4
D Demic,8,4,1.0,200.0,8.0
D Devnarain,40,40,3.0,100.0,13.333333333333334
D Dewald,48,64,1.0,75.0,48.0
D Dhingra,317,354,12.0,89.54802259887006,26.416666666666668
D Dlamini,1,5,1.0,20.0,1.0
D Doyle-Calle,368,269,11.0,136.80297397769516,33.45454545454545
D Faletar,4,15,2.0,26.666666666666668,2.0
D Ferreira,196,126,7.0,155.55555555555557,28.0
D Finau,24,12,2.0,200.0,12.0
D Foerster,106,135,7.0,78.51851851851852,15.142857142857142
D Foxcroft,57,50,3.0,113.99999999999999,19.0
D Ganesh,20,35,2.0,57.14285714285714,10.0
D Ganga,26,31,2.0,83.87096774193549,13.0
D Gim,53,106,9.0,50.0,5.888888888888889
D Golechha,4,16,2.0,25.0,2.0
D Gumyusenge,236,247,12.0,95.54655870445345,19.666666666666668
D Hannema,80,102,3.0,78.43137254901961,26.666666666666668
D Hardware,2,9,1.0,22.22222222222222,2.0
D Hazell,60,75,7.0,80.0,8.571428571428571
D Hemalatha,166,151,10.0,109.93377483443709,16.6
D Heyliger,247,153,10.0,161.43790849673204,24.7
D Issiaka,4,32,1.0,12.5,4.0
D Jakiel,95,120,8.0,79.16666666666666,11.875
D Jamyansuren,3,41,3.0,7.317073170731707,1.0
D Jansen,89,102,6.0,87.25490196078431,14.833333333333334
D Johnson,124,88,6.0,140.9090909090909,20.666666666666668
D Joseph,22,55,3.0,40.0,7.333333333333333
D Kalvin,49,44,1.0,111.36363636363636,49.0
D Kansonkho,326,426,19.0,76.52582159624414,17.157894736842106
D Kataina,24,36,1.0,66.66666666666666,24.0
D Khanal,20,27,2.0,74.07407407407408,10.0
D Klein,67,52,7.0,128.84615384615387,9.571428571428571
D Koralalage,6,12,0.0,50.0,6.0
D Lohia,5,19,2.0,26.31578947368421,2.5
D Long Martinez,79,52,1.0,151.9230769230769,79.0
D Madushanka,0,2,1.0,0.0,0.0
D Maisuria,44,63,4.0,69.84126984126983,11.0
D Marks,13,15,2.0,86.66666666666667,6.5
D Marsic,87,142,6.0,61.267605633802816,14.5
D Matla,4,19,2.0,21.052631578947366,2.0
D Mauro,5,10,0.0,50.0,5.0
D McGahey,84,96,4.0,87.5,21.0
D Mehtani,3,13,3.0,23.076923076923077,1.0
D Mendonca,9,57,6.0,15.789473684210526,1.5
D Muhumuza,45,50,3.0,90.0,15.0
D Mukarurangwa,16,27,1.0,59.25925925925925,16.0
D Mullen,3,4,1.0,75.0,3.0
D Murphy,9,10,0.0,90.0,9.0
D Myers,298,226,14.0,131.858407079646,21.285714285714285
D Nanayakkara,68,101,11.0,67.32673267326733,6.181818181818182
D Nanda,14,18,1.0,77.77777777777779,14.0
D Nath,0,4,2.0,0.0,0.0
D Ndikubwimana,644,705,29.0,91.34751773049645,22.20689655172414
D Ndipo,3,6,1.0,50.0,3.0
D Nikolov,87,102,11.0,85.29411764705883,7.909090909090909
D Njoroge,169,177,5.0,95.48022598870057,33.8
D Norotam,84,57,2.0,147.36842105263156,42.0
D Padikkal,38,38,2.0,100.0,19.0
D Panda,17,15,0.0,113.33333333333333,17.0
D Parashar,97,90,4.0,107.77777777777777,24.25
D Paterson,4,1,0.0,400.0,4.0
D Pavelic,32,61,3.0,52.459016393442624,10.666666666666666
D Pretorius,157,93,5.0,168.81720430107526,31.4
D Ramdin,323,250,19.0,129.20000000000002,17.0
D Ravu,4,12,2.0,33.33333333333333,2.0
D Rawat,15,25,3.0,60.0,5.0
D Robson,25,38,3.0,65.78947368421053,8.333333333333334
D Ruynekova,71,120,8.0,59.166666666666664,8.875
D Sabir,152,124,11.0,122.58064516129032,13.818181818181818
D Samarawickrama,15,27,3.0,55.55555555555556,5.0
D Saxena,215,240,13.0,89.58333333333334,16.53846153846154
D Sheeli,6,8,1.0,75.0,6.0
D Siva Kumar,7,14,1.0,50.0,7.0
D St Ange,17,25,2.0,68.0,8.5
D Staddon,29,59,3.0,49.152542372881356,9.666666666666666
D Suzuki,295,309,22.0,95.46925566343042,13.409090909090908
D Svilicic,4,12,1.0,33.33333333333333,4.0
D Tanase,0,2,1.0,0.0,0.0
D Teinaki,2,3,1.0,66.66666666666666,2.0
D Tekyildirim,55,74,0.0,74.32432432432432,55.0
D Traore,4,9,1.0,44.44444444444444,4.0
D Tucker,25,50,3.0,50.0,8.333333333333334
D Unhale,151,249,6.0,60.6425702811245,25.166666666666668
D Uwimana,23,22,1.0,104.54545454545455,23.0
D Visser,501,315,9.0,159.04761904761904,55.666666666666664
D Wabwire,0,3,2.0,0.0,0.0
D Wangmo,317,439,11.0,72.20956719817767,28.818181818181817
D Weston,5,6,1.0,83.33333333333334,5.0
D Wheatley,98,116,10.0,84.48275862068965,9.8
D Wiese,241,206,15.0,116.99029126213591,16.066666666666666
D Wotu,5,5,1.0,100.0,5.0
D Wulandari,234,253,5.0,92.4901185770751,46.8
D Young,5,7,2.0,71.42857142857143,2.5
D la Cock,23,25,3.0,92.0,7.666666666666667
D van Deventer,75,70,2.0,107.14285714285714,37.5
D van Niekerk,762,812,31.0,93.8423645320197,24.580645161290324
DA Blignaut,157,153,10.0,102.61437908496731,15.7
DA Galia,82,158,11.0,51.89873417721519,7.454545454545454
DA Mehta,28,25,2.0,112.00000000000001,14.0
DA Miller,1562,1089,43.0,143.43434343434342,36.325581395348834
DA Warner,1268,911,39.0,139.18770581778267,32.51282051282051
DAJ Bracewell,79,67,3.0,117.91044776119404,26.333333333333332
DAL Paramitha,13,25,2.0,52.0,6.5
DAM Louis,18,25,1.0,72.0,18.0
DAP Darrell,32,41,4.0,78.04878048780488,8.0
DAS Gunaratne,40,52,2.0,76.92307692307693,20.0
DB Loic,50,59,9.0,84.7457627118644,5.555555555555555
DB Sharma,677,665,31.0,101.80451127819549,21.838709677419356
DBL Powell,1,1,0.0,100.0,1.0
DC Delany,0,1,1.0,0.0,0.0
DC Smith,251,198,13.0,126.76767676767678,19.307692307692307
DC Stovell,138,128,6.0,107.8125,23.0
DDP D'Silva,20,28,2.0,71.42857142857143,10.0
DE Budge,0,1,1.0,0.0,0.0
DE Burgess,14,31,4.0,45.16129032258064,3.5
DE Martel,1,3,1.0,33.33333333333333,1.0
DE Roache,106,80,4.0,132.5,26.5
DEM Carter,509,487,13.0,104.51745379876796,39.15384615384615
DF Jacobs,68,125,6.0,54.400000000000006,11.333333333333334
DG Blampied,183,178,9.0,102.80898876404494,20.333333333333332
DG Brownlie,0,2,1.0,0.0,0.0
DG Perez,62,74,2.0,83.78378378378379,31.0
DG Weakley,22,43,4.0,51.162790697674424,5.5
DGAPD Wiswi,34,46,3.0,73.91304347826086,11.333333333333334
DI Allan,34,64,5.0,53.125,6.8
DI Dusabemungu,0,3,1.0,0.0,0.0
DJ Bravo,648,576,26.0,112.5,24.923076923076923
DJ Hawoe,295,215,25.0,137.2093023255814,11.8
DJ Hooda,262,176,9.0,148.86363636363635,29.11111111111111
DJ Hussey,528,439,23.0,120.27334851936217,22.956521739130434
DJ Malan,909,643,22.0,141.36858475894246,41.31818181818182
DJ Mitchell,986,724,40.0,136.1878453038674,24.65
DJ Turkich,66,85,7.0,77.64705882352942,9.428571428571429
DJ Willey,120,93,9.0,129.03225806451613,13.333333333333334
DJG Sammy,372,251,22.0,148.20717131474103,16.90909090909091
DJM Short,192,167,7.0,114.97005988023952,27.428571428571427
DJS Dottin,750,636,30.0,117.9245283018868,25.0
DK Anefie,117,97,8.0,120.61855670103093,14.625
DK Dahani,4,4,1.0,100.0,4.0
DK Dahyabhai Ahir,26,38,1.0,68.42105263157895,26.0
DK Mathias,147,145,4.0,101.37931034482759,36.75
DK Pallekonda,6,15,3.0,40.0,2.0
DK Shetty,22,17,2.0,129.41176470588235,11.0
DKD Warnakulasuriya,0,7,1.0,0.0,0.0
DKJ Claude,9,29,4.0,31.03448275862069,2.25
DL Brangman,88,86,5.0,102.32558139534885,17.6
DL Chahar,22,11,1.0,200.0,22.0
DL Graham,42,91,10.0,46.15384615384615,4.2
DL Hemp,20,30,1.0,66.66666666666666,20.0
DL Maddy,34,29,2.0,117.24137931034481,17.0
DL Richards,5,5,0.0,100.0,5.0
DL Vettori,154,147,9.0,104.76190476190477,17.11111111111111
DLN Kenfack,0,3,1.0,0.0,0.0
DLS van Bunge,23,19,1.0,121.05263157894737,23.0
DM Bravo,313,300,11.0,104.33333333333333,28.454545454545453
DM Gondaria,268,235,9.0,114.04255319148938,29.77777777777778
DM Kimmince,72,85,2.0,84.70588235294117,36.0
DM Nakrani,614,448,27.0,137.05357142857142,22.74074074074074
DM de Silva,359,323,19.0,111.14551083591331,18.894736842105264
DMW Rawlins,710,494,18.0,143.7246963562753,39.44444444444444
DN Wyatt,1739,1369,74.0,127.02702702702702,23.5
DNA Ankrah,12,31,3.0,38.70967741935484,4.0
DO Christian,0,2,1.0,0.0,0.0
DO Leicher,80,88,4.0,90.9090909090909,20.0
DO Obuya,63,83,5.0,75.90361445783132,12.6
DP Conway,1096,848,27.0,129.24528301886792,40.592592592592595
DP Hyatt,50,48,5.0,104.16666666666667,10.0
DP Michael,154,141,3.0,109.21985815602837,51.333333333333336
DP Nannes,4,4,1.0,100.0,4.0
DP Vaidya,35,42,1.0,83.33333333333334,35.0
DPMD Jayawardene,940,700,22.0,134.28571428571428,42.72727272727273
DPS Tyagi,22,15,3.0,146.66666666666666,7.333333333333333
DR Flynn,36,30,3.0,120.0,12.0
DR Gibson,133,109,10.0,122.01834862385321,13.3
DR Hooper,31,40,3.0,77.5,10.333333333333334
DR Martyn,99,64,2.0,154.6875,49.5
DR Patankar,203,191,12.0,106.28272251308901,16.916666666666668
DR Sams,58,43,1.0,134.88372093023256,58.0
DR Smith,460,374,21.0,122.99465240641712,21.904761904761905
DR Tawake,27,44,3.0,61.36363636363637,9.0
DR Tuffey,0,3,2.0,0.0,0.0
DS Airee,1102,712,30.0,154.7752808988764,36.733333333333334
DS Bajwa,199,146,8.0,136.3013698630137,24.875
DS Gamage,5,10,2.0,50.0,2.5
DS Kulkarni,1,2,0.0,50.0,1.0
DS Maraiwai,40,38,2.0,105.26315789473684,20.0
DS Smith,159,133,3.0,119.54887218045114,53.0
DS Vlachopoulou,24,68,3.0,35.294117647058826,8.0
DS Vosloo,15,20,1.0,75.0,15.0
DT Christian,41,35,3.0,117.14285714285715,13.666666666666666
DT Doram,4,6,0.0,66.66666666666666,4.0
DT Johnston,73,53,2.0,137.73584905660377,36.5
DT Tiripano,72,80,3.0,90.0,24.0
DV Devjani Mutreja,1,2,0.0,50.0,1.0
DV Macome,6,8,1.0,75.0,6.0
DV Varghese,28,51,3.0,54.90196078431373,9.333333333333334
DVD Madampage,32,48,4.0,66.66666666666666,8.0
DW Steyn,13,11,2.0,118.18181818181819,6.5
Damini Ramesh,9,30,1.0,30.0,9.0
Dane Leo,0,5,1.0,0.0,0.0
Danish Aziz,15,11,1.0,136.36363636363635,15.0
Danish Jasnaik,4,12,2.0,33.33333333333333,2.0
Danyal Akbar,17,23,1.0,73.91304347826086,17.0
Danyal Raja,66,68,6.0,97.05882352941177,11.0
Dawood Ahmadzai,73,96,5.0,76.04166666666666,14.6
Dayal Joy,9,7,1.0,128.57142857142858,9.0
Delawar Khan,157,120,8.0,130.83333333333334,19.625
Delroy Leo,44,56,1.0,78.57142857142857,44.0
Devender Singh,111,120,8.0,92.5,13.875
Dhananjay Rao,5,6,2.0,83.33333333333334,2.5
Dharmang Patel,17,28,1.0,60.71428571428571,17.0
Diana Baig,43,63,7.0,68.25396825396825,6.142857142857143
Dilara Akter,146,114,10.0,128.0701754385965,14.6
Dipanjan Dey,105,74,3.0,141.89189189189187,35.0
Divyendra Singh,81,85,4.0,95.29411764705881,20.25
Dok Da Nit,1,20,3.0,5.0,0.3333333333333333
Dylan Steyn,319,230,5.0,138.69565217391303,63.8
E Anyipo,29,30,4.0,96.66666666666667,7.25
E Batkhuyag,6,12,2.0,50.0,3.0
E Beukes,286,230,11.0,124.34782608695652,26.0
E Bhonkar,3,7,1.0,42.857142857142854,3.0
E Bisht,6,8,0.0,75.0,6.0
E Bogdanova,0,3,3.0,0.0,0.0
E Brelivet,6,50,7.0,12.0,0.8571428571428571
E Chance,6,22,3.0,27.27272727272727,2.0
E Chigumbura,430,311,20.0,138.2636655948553,21.5
E Chiralile,10,48,2.0,20.833333333333336,5.0
E Claridge,74,64,4.0,115.625,18.5
E Cleator,50,68,3.0,73.52941176470588,16.666666666666668
E Duff,87,140,8.0,62.142857142857146,10.875
E Duffy,0,4,1.0,0.0,0.0
E Dusingizimana,476,429,24.0,110.95571095571096,19.833333333333332
E Ellermaa,4,29,3.0,13.793103448275861,1.3333333333333333
E Ernest,0,1,1.0,0.0,0.0
E Frimpong,6,4,0.0,150.0,6.0
E Gebhard,15,40,2.0,37.5,7.5
E Gouge,7,9,1.0,77.77777777777779,7.0
E Guehoada,12,35,1.0,34.285714285714285,12.0
E Hasahya,16,25,4.0,64.0,4.0
E Haven,13,28,2.0,46.42857142857143,6.5
E Iloku,267,423,22.0,63.12056737588653,12.136363636363637
E Isaneez,1,4,0.0,25.0,1.0
E Jabarkhel,7,13,1.0,53.84615384615385,7.0
E Kabwere,3,8,1.0,37.5,3.0
E Kahamker,36,34,2.0,105.88235294117648,18.0
E Kallous,7,20,0.0,35.0,7.0
E Kamara,185,256,10.0,72.265625,18.5
E Karimi,3,7,1.0,42.857142857142854,3.0
E Khaliunaa,5,16,4.0,31.25,1.25
E Konasova,0,7,1.0,0.0,0.0
E Kubwimana,24,23,6.0,104.34782608695652,4.0
E Kuchey,14,22,1.0,63.63636363636363,14.0
E Kuncova,32,77,6.0,41.55844155844156,5.333333333333333
E Kusuda-Nairn,10,20,1.0,50.0,10.0
E Kuyumcu,0,1,1.0,0.0,0.0
E Laini,6,10,1.0,60.0,6.0
E Lewis,734,466,27.0,157.5107296137339,27.185185185185187
E Malinga,0,2,0.0,0.0,0.0
E Marx,24,23,3.0,104.34782608695652,8.0
E Mathew,186,204,15.0,91.17647058823529,12.4
E Moiane,65,72,5.0,90.27777777777779,13.0
E Ndubudem,7,10,2.0,70.0,3.5
E Niyomugabo,215,211,17.0,101.89573459715639,12.647058823529411
E Otgonbayar,7,14,1.0,50.0,7.0
E Otieno,7,17,4.0,41.17647058823529,1.75
E Packard,41,57,5.0,71.9298245614035,8.2
E Pokana,36,55,3.0,65.45454545454545,12.0
E Prokic,4,18,1.0,22.22222222222222,4.0
E Richard,8,15,1.0,53.333333333333336,8.0
E Rukiriza,121,138,13.0,87.68115942028986,9.307692307692308
E Samson,3,3,1.0,100.0,3.0
E Sandy,96,143,11.0,67.13286713286713,8.727272727272727
E Sebareme,160,161,14.0,99.37888198757764,11.428571428571429
E Simeon,0,4,1.0,0.0,0.0
E Solomon,107,101,4.0,105.94059405940595,26.75
E Thelander,145,202,6.0,71.78217821782178,24.166666666666668
E Toguchi-Quinn,24,51,3.0,47.05882352941176,8.0
E Ul Haq,68,111,8.0,61.261261261261254,8.5
E Ungerman,11,13,1.0,84.61538461538461,11.0
E Van Zyl,138,212,18.0,65.09433962264151,7.666666666666667
E Vukusic,163,165,3.0,98.7878787878788,54.333333333333336
E Wachira,302,403,19.0,74.93796526054591,15.894736842105264
E Waithaka,2,7,0.0,28.57142857142857,2.0
E Walker,3,19,0.0,15.789473684210526,3.0
E Yaver,17,21,3.0,80.95238095238095,5.666666666666667
E de Souza,23,37,2.0,62.16216216216216,11.5
EA Osborne,17,25,5.0,68.0,3.4
EA Perry,1125,954,40.0,117.9245283018868,28.125
EAJ Richardson,341,352,20.0,96.875,17.05
EAS Ferrary,149,180,7.0,82.77777777777777,21.285714285714285
EB Knowles,46,49,1.0,93.87755102040816,46.0
EB Ringera,2,4,1.0,50.0,2.0
EC Bargna,1,2,0.0,50.0,1.0
EC Joyce,177,170,4.0,104.11764705882354,44.25
EC Muller,10,15,3.0,66.66666666666666,3.3333333333333335
EC Perry,48,62,6.0,77.41935483870968,8.0
EC Rainsford,1,2,0.0,50.0,1.0
ECB Moore,16,21,1.0,76.19047619047619,16.0
ED Silva,77,45,4.0,171.11111111111111,19.25
EDS Pimheiro,3,20,4.0,15.0,0.75
EE Corder,0,4,1.0,0.0,0.0
EF Beard,156,138,9.0,113.04347826086956,17.333333333333332
EF Faalupega,2,6,2.0,33.33333333333333,1.0
EFB Estrada,38,68,4.0,55.88235294117647,9.5
EGS Kana,30,79,12.0,37.9746835443038,2.5
EH Rendler,19,32,3.0,59.375,6.333333333333333
EHSN Silva,16,23,0.0,69.56521739130434,16.0
EJ Carson,8,9,2.0,88.88888888888889,4.0
EJ Tice,0,1,1.0,0.0,0.0
EJ Villani,673,553,22.0,121.6998191681736,30.59090909090909
EJB Miles,19,21,1.0,90.47619047619048,19.0
EJG Morgan,1118,823,38.0,135.8444714459295,29.42105263157895
EK Hubbard,29,49,1.0,59.183673469387756,29.0
EL Arlott,2,2,0.0,100.0,2.0
EL Bartram,243,262,12.0,92.74809160305344,20.25
EL Kirkman,18,34,2.0,52.94117647058824,9.0
EL Watson,93,183,14.0,50.81967213114754,6.642857142857143
EM Bermingham,16,15,4.0,106.66666666666667,4.0
EMA McLeod,48,51,3.0,94.11764705882352,16.0
EMC Fowler,6,29,2.0,20.689655172413794,3.0
EMDY Munaweera,94,80,5.0,117.5,18.8
EMKNH Senavirathna,48,42,4.0,114.28571428571428,12.0
EN Gay,56,26,2.0,215.3846153846154,28.0
EN Lynch,80,87,10.0,91.95402298850574,8.0
EP Thompson,1,1,0.0,100.0,1.0
ER Oza,1957,1719,58.0,113.84525887143688,33.741379310344826
ES Grammenou,3,23,2.0,13.043478260869565,1.5
ES Szwarczynski,15,24,1.0,62.5,15.0
ET Williams,64,82,4.0,78.04878048780488,16.0
EU Kejarukua,12,24,3.0,50.0,4.0
Eashal Ibrahim,0,10,2.0,0.0,0.0
Edward Taylor,17,59,2.0,28.8135593220339,8.5
Ehsan Khan,206,209,16.0,98.56459330143541,12.875
Ehsan Nawaz,9,6,1.0,150.0,9.0
Elan Talker,4,3,0.0,133.33333333333331,4.0
Elias Hasan,1,7,1.0,14.285714285714285,1.0
Elias Sunny,1,1,0.0,100.0,1.0
Elias Tilman,3,28,4.0,10.714285714285714,0.75
Elyza Wall,6,13,1.0,46.15384615384615,6.0
Emaan Ejaz,4,24,2.0,16.666666666666664,2.0
Eman Asim,164,194,4.0,84.5360824742268,41.0
Eman Said,1,1,1.0,100.0,1.0
Emily Sirs,64,45,2.0,142.22222222222223,32.0
Emma Patel,41,56,1.0,73.21428571428571,41.0
Emran Shahbakhsh,2,2,0.0,100.0,2.0
Emylia Eliani,1,7,1.0,14.285714285714285,1.0
Eri Iko,31,50,4.0,62.0,7.75
Eric Phiri,97,109,3.0,88.9908256880734,32.333333333333336
Erika Oda,303,382,18.0,79.31937172774869,16.833333333333332
Esam Rahman,136,127,4.0,107.08661417322836,34.0
Ethan D'Souza,41,38,2.0,107.89473684210526,20.5
Eyman Fatima,23,16,1.0,143.75,23.0
Ezgi Nur Kilic,54,69,5.0,78.26086956521739,10.8
F Achelam,161,145,10.0,111.03448275862068,16.1
F Akankwasa,71,64,6.0,110.9375,11.833333333333334
F Baleri,35,47,2.0,74.46808510638297,17.5
F Banunaek,146,169,13.0,86.3905325443787,11.23076923076923
F Behardien,344,274,10.0,125.54744525547446,34.4
F Cagnewa,7,12,1.0,58.333333333333336,7.0
F Campbell,13,23,3.0,56.52173913043478,4.333333333333333
F Chipare,11,20,1.0,55.00000000000001,11.0
F Clarke,12,25,3.0,48.0,4.0
F Conteh,60,90,5.0,66.66666666666666,12.0
F Copley,0,2,1.0,0.0,0.0
F Damiao Couana,198,141,7.0,140.4255319148936,28.285714285714285
F Elizabet,4,16,1.0,25.0,4.0
F Eseigbe,83,209,10.0,39.71291866028708,8.3
F Fyneface,0,1,1.0,0.0,0.0
F Guirrugo,15,56,3.0,26.785714285714285,5.0
F Hand,14,14,2.0,100.0,7.0
F Irakoze,30,29,4.0,103.44827586206897,7.5
F Khaliq,22,26,4.0,84.61538461538461,5.5
F Kuenburg,43,39,0.0,110.25641025641026,43.0
F Malefula,132,115,6.0,114.78260869565217,22.0
F Mutizwa,16,19,2.0,84.21052631578947,8.0
F Mutua,14,13,2.0,107.6923076923077,7.0
F Najjumba,53,61,2.0,86.88524590163934,26.5
F Nsubuga,129,107,6.0,120.56074766355141,21.5
F Odhiambo,17,34,2.0,50.0,8.5
F Overdijk,211,257,18.0,82.10116731517509,11.722222222222221
F Parkinson,2,4,1.0,50.0,2.0
F Pessima,33,62,2.0,53.2258064516129,16.5
F Samanyika,198,399,16.0,49.62406015037594,12.375
F Sisifo,60,97,6.0,61.855670103092784,10.0
F Song,16,27,3.0,59.25925925925925,5.333333333333333
F Stoman,97,144,8.0,67.36111111111111,12.125
F Suluoto,190,188,10.0,101.06382978723406,19.0
F Tanguy,19,30,4.0,63.33333333333333,4.75
F Thorpe,0,1,1.0,0.0,0.0
F Tunnicliffe,99,121,7.0,81.81818181818183,14.142857142857142
F du Plessis,1061,763,26.0,139.05635648754915,40.80769230769231
FA Allen,124,104,9.0,119.23076923076923,13.777777777777779
FA Cossa,87,95,4.0,91.57894736842105,21.75
FA Klokker,41,38,1.0,107.89473684210526,41.0
FA Zavala,53,122,9.0,43.44262295081967,5.888888888888889
FC Jonas,6,19,0.0,31.57894736842105,6.0
FC Muniz,1,10,2.0,10.0,0.5
FC Wilson,281,279,13.0,100.71684587813621,21.615384615384617
FDW McCreath,43,38,3.0,113.1578947368421,14.333333333333334
FE Carava,17,27,3.0,62.96296296296296,5.666666666666667
FFJ Heo,17,27,3.0,62.96296296296296,5.666666666666667
FFZ Nhaduate,2,6,2.0,33.33333333333333,1.0
FG Kemp,108,92,6.0,117.3913043478261,18.0
FH Allen,926,547,32.0,169.28702010968922,28.9375
FH Edwards,7,5,1.0,140.0,7.0
FJ Klaassen,34,41,6.0,82.92682926829268,5.666666666666667
FJ Mpegna,19,37,5.0,51.35135135135135,3.8
FL Mackay,143,144,7.0,99.30555555555556,20.428571428571427
FL Patel,71,71,7.0,100.0,10.142857142857142
FLV Pula,23,39,1.0,58.97435897435898,23.0
FN Walsh,3,5,1.0,60.0,3.0
FO Kibasu,672,707,29.0,95.04950495049505,23.17241379310345
FR Davies,1,1,0.0,100.0,1.0
Fahad Tariq,3,5,1.0,60.0,3.0
Faheem Ashraf,329,250,25.0,131.6,13.16
Faheem Nazir,381,264,7.0,144.3181818181818,54.42857142857143
Faheem Nellancheri,101,77,7.0,131.1688311688312,14.428571428571429
Fahima Khatun,161,145,12.0,111.03448275862068,13.416666666666666
Faisal Khan,591,373,20.0,158.44504021447722,29.55
Faisal Mehmood,33,26,2.0,126.92307692307692,16.5
Faisal Mubashir,190,186,6.0,102.15053763440861,31.666666666666668
Faisal Raza,133,109,5.0,122.01834862385321,26.6
Faizal Salehji,2,2,1.0,100.0,2.0
Faizan Asif,52,49,5.0,106.12244897959184,10.4
Faizan Mumtaz,6,15,4.0,40.0,1.5
Fakhar Zaman,1331,1041,56.0,127.85782901056677,23.767857142857142
Fakhrul Mohon,8,9,2.0,88.88888888888889,4.0
Fanyan Mughal,63,87,9.0,72.41379310344827,7.0
Faraaz Mehti Abbas,31,40,3.0,77.5,10.333333333333334
Fareeha Mehmood,5,12,1.0,41.66666666666667,5.0
Fargana Hoque,424,445,18.0,95.28089887640449,23.555555555555557
Farhad Reza,32,54,4.0,59.25925925925925,8.0
Farial Zia Safdar,0,2,1.0,0.0,0.0
Fariha Trisna,1,8,2.0,12.5,0.5
Farzan Afzal,41,44,1.0,93.18181818181817,41.0
Fatima Abbas,16,37,1.0,43.24324324324324,16.0
Fatima Amir,1,7,1.0,14.285714285714285,1.0
Fatima Sana,213,165,11.0,129.0909090909091,19.363636363636363
Fawad Alam,106,108,7.0,98.14814814814815,15.142857142857142
Fayaz Khan,78,43,5.0,181.3953488372093,15.6
Fayaz Mohammad,9,8,2.0,112.5,4.5
Fayyaz Ahmed,11,12,1.0,91.66666666666666,11.0
Fayyaz Butt,42,41,4.0,102.4390243902439,10.5
Fazil Muhammad,5,11,1.0,45.45454545454545,5.0
Fazil Rahman,6,7,0.0,85.71428571428571,6.0
