batter,total_runs,balls_faced,times_out,strike_rate,average
Asmavia Iqbal,116,117,13.0,99.14529914529915,8.923076923076923
Asrar Ahmed,39,46,1.0,84.78260869565217,39.0
Assad Borham,2,5,1.0,40.0,2.0
Ateeq Iqbal,15,17,1.0,88.23529411764706,15.0
Atif Kamal,19,20,3.0,95.0,6.333333333333333
Atif Mehmood,25,22,1.0,113.63636363636364,25.0
Atif Rasheed,171,137,9.0,124.81751824817518,19.0
Atif-Ur-Rehman,15,15,1.0,100.0,15.0
Attia Diwan Ali,2,9,1.0,22.22222222222222,2.0
Aung Ko Ko,4,11,2.0,36.36363636363637,2.0
Avesh Khan,10,7,1.0,142.85714285714286,10.0
Avi Dixit,49,61,7.0,80.32786885245902,7.0
Aviel Warsulkar,2,2,0.0,100.0,2.0
Avishka Iroshan,193,181,6.0,106.62983425414365,32.166666666666664
Awais Ahmad,73,63,6.0,115.87301587301589,12.166666666666666
Awais Ahmed,56,74,5.0,75.67567567567568,11.2
Awais Ikram,12,14,2.0,85.71428571428571,6.0
Awais Zia,21,20,2.0,105.0,10.5
Ayan Khan,312,295,15.0,105.76271186440678,20.8
Ayasha Rahman,225,267,12.0,84.26966292134831,18.75
Ayaz Dadabhai,78,69,4.0,113.04347826086956,19.5
Ayesha Hasan,142,197,11.0,72.08121827411168,12.909090909090908
Ayesha Naseem,172,156,13.0,110.25641025641026,13.23076923076923
Ayesha Zafar,80,98,6.0,81.63265306122449,13.333333333333334
Aysha,288,285,11.0,101.05263157894737,26.181818181818183
Ayush Ummat,0,5,1.0,0.0,0.0
Ayyaz Qureshi,34,47,2.0,72.3404255319149,17.0
Azam Khalil,20,19,2.0,105.26315789473684,10.0
Azam Khan,5,13,3.0,38.46153846153847,1.6666666666666667
Azeem Nazir,0,2,1.0,0.0,0.0
Azhar Andani,155,165,8.0,93.93939393939394,19.375
Azin Rafeeg,2,6,0.0,33.33333333333333,2.0
Aziz Mohammad,86,79,4.0,108.86075949367088,21.5
Aziz Sualley,6,8,3.0,75.0,2.0
Azyan Farhath,392,487,16.0,80.49281314168378,24.5
B Angeltti,0,2,1.0,0.0,0.0
B Arora,327,369,16.0,88.6178861788618,20.4375
B Balala,38,88,6.0,43.18181818181818,6.333333333333333
